상권_코드_명,서비스_업종_코드_명,rank_상권별
서울고교교차로,골프연습장,1.0
서울공연예술고등학교,가전제품수리,1.0
서울과학기술대,노래방,1.0
서울교통공사,미용실,1.0
서울국제고등학교,가전제품수리,1.0
서울금융고등학교,노래방,1.0
서울나래학교(염곡어린이공원),미용실,1.0
서울남부지방법원,PC방,1.0
서울대병원,분식전문점,1.0
서울대입구역,PC방,1.0
서울대입구역 8번,네일숍,1.0
서울독일학교,미용실,1.0
서울북부고용노동지청,PC방,1.0
서울산업정보학교(서울삼성초등학교),미용실,1.0
서울서부지방법원,PC방,1.0
서울세관,가구,1.0
서울숲역,미용실,1.0
서울숲역 1번,노래방,1.0
서울숲카페거리,문구,1.0
서울시립대,PC방,1.0
서울시립영등포장애인복지관,커피-음료,1.0
서울시인재개발원,스포츠클럽,1.0
서울시청,노래방,1.0
서울시흥동우체국(홈플러스시흥점),PC방,1.0
서울약령시장,골프연습장,1.0
서울여자간호대학교,골프연습장,1.0
서울역,고시원,1.0
서울역 12번,노래방,1.0
서울역 15번,가구,1.0
서울중앙시장(신중앙시장),가구,1.0
서울지방병무청,PC방,1.0
서울축산농협 독산역지점(독산파출소),노래방,1.0
서울프랑스학교,미용실,1.0
서원동상점가,PC방,1.0
서원동주민센터(신관중학교),당구장,1.0
서일대학교,PC방,1.0
서초3동사거리,PC방,1.0
서초동성당,가구,1.0
서초소방서,가구,1.0
서초역,고시원,1.5
서초우방유쉘아파트,미용실,1.0
서초중학교,네일숍,1.0
서촌(경복궁역),PC방,1.0
석계역 1번,PC방,1.0
석계역 2번,PC방,1.0
석계역 7번,네일숍,1.0
석관고등학교,PC방,1.0
석관시장,골프연습장,1.0
석관중앙교회,가구,1.0
석수역 1번 출입구,노래방,1.0
석촌고분역,PC방,1.0
석촌고분역 1번,PC방,1.0
석촌고분역 3번,네일숍,1.0
석촌고분역 4번,미용실,1.0
석촌시장,가구,1.0
석촌역 3번,가전제품수리,1.0
석촌역 6번,가구,1.0
석촌역 7번,골프연습장,1.0
석촌역(석촌호수),PC방,1.0
석촌중학교(방이육교),가전제품,1.0
선릉역,PC방,1.0
선사초등학교,자동차수리,1.0
선유도역 1번,노래방,1.0
선유도역 6번,PC방,1.0
선유도역 골목형상점가,PC방,1.0
선일여고,문구,1.0
선정릉역,가구,1.0
선정릉역 4번,네일숍,1.0
선정중학교,가구,1.0
성곡미술관,노래방,1.0
성균관대학교,노래방,1.0
성남고등학교,문구,1.0
성내전통시장,노래방,1.0
성내중학교,문구,1.0
성내천어린이공원(하니사랑길),골프연습장,1.0
성대전통시장(성대시장),PC방,1.0
성동구립금호도서관,PC방,1.0
성동구보건소,가전제품,1.0
성동세무서,노래방,1.0
성동용답상가시장,PC방,1.0
성동초등학교,PC방,1.0
성미산체육관,문구,1.0
성북구청,가전제품,1.0
성북초등학교앞,미용실,1.0
성산중학교,골프연습장,1.0
성서초등학교,노래방,1.0
성수119안전센터,PC방,1.0
성수1가1동주민센터,미용실,1.0
성수2가3동주민센터,당구장,1.0
성수대교남단,가구,1.0
성수동카페거리,가방,1.0
성수역,PC방,1.0
성수역 골목형상점가,신발,1.0
성수초등학교,가전제품,1.0
성신여대,PC방,1.0
성신여대운정그린캠퍼스,가구,1.0
성신여대입구역 1번,고시원,1.0
성신여대입구역 4번,문구,1.0
성신여대입구역 7번,미용실,1.0
성심여자고등학교,노래방,1.0
성원어린이공원,세탁소,1.0
성원중학교,PC방,1.0
성자초등학교,가구,1.0
세검정,미용실,1.0
세검정초등학교,PC방,1.0
세곡초등학교,가전제품수리,1.0
세명컴퓨터고등학교,노래방,1.0
세운상가가동,가전제품,1.0
세종대왕기념관교차로,노래방,1.0
세종대학교,PC방,1.0
세종마을음식문화거리(금천교시장),네일숍,1.0
세화어린이공원,일반의류,1.0
소공지하도상가,가방,1.0
솔밭공원역 1번,PC방,1.0
솔밭공원역 2번,PC방,1.0
"솔샘시장(미아6,7동골목시장)",PC방,1.0
솔숲어린이공원,가구,1.0
송정역,골프연습장,1.0
송정역 2번,미곡판매,1.0
송정역 3번,PC방,1.0
송정역 4번,미용실,1.0
송정체육공원,노래방,1.0
송중동주민센터,가전제품수리,1.0
송중초등학교,PC방,1.0
송천동주민센터,미곡판매,1.0
송천초등학교,미용실,1.0
송파나루역,가전제품수리,1.0
송파나루역 1번(송리단길),PC방,1.0
송파나루역 2번,가전제품수리,1.0
송파나루역 3번,가구,1.0
송파사거리(송파역),가구,1.0
송파역 2번,미용실,1.0
송파책박물관,PC방,1.0
송화벽화시장(송화골목시장),PC방,1.0
수궁동주민센터,PC방,1.0
수락산디자인거리,PC방,1.0
수락산역 4번,PC방,1.0
수색성당,슈퍼마켓,1.0
수색역 1번,미용실,1.0
수서역,PC방,1.0
수송초등학교,PC방,1.0
수유1동주민센터,가전제품수리,1.0
수유동우체국,가구,1.0
수유북부골목시장,슈퍼마켓,1.0
수유북부시장옆,당구장,1.0
수유시장옆,가전제품수리,1.0
수유역,PC방,1.0
수유역 2번,PC방,1.0
수유재래시장,미곡판매,1.0
"수유전통시장(수유시장, 수유골목시장)",가방,1.0
수유중앙골목시장(수유중앙시장),노래방,1.0
수유초등학교,가방,1.0
수유프라자,가구,1.0
수일시장,노래방,1.0
수족관거리,가방,1.0
숙대입구,PC방,1.0
숙대입구역 1번,가전제품수리,1.0
"숙대입구역(남영역, 남영동)",PC방,1.0
숭곡초등학교,PC방,1.0
숭례문수입상가(남대문시장),가방,1.0
숭실대입구역 1번,고시원,1.0
숭실대입구역 4번,PC방,1.0
숭인시장,고시원,1.0
시립대앞사거리,노래방,1.0
시립서북병원,PC방,1.0
시조사삼거리,미용실,1.0
시청역_1번,PC방,1.0
시청역_8번,당구장,1.0
시흥3동 우편취급국,노래방,1.0
시흥4동주민센터(서울신흥초등학교),가구,1.0
시흥동 은행나무사거리,PC방,1.0
시흥초등학교(시흥1동우체국),가구,1.0
신곡종합시장(신월6동 골목시장),노래방,1.0
신곡초등학교,PC방,1.0
신광명마을,양식음식점,1.0
신구중학교,미용실,1.0
신금호역 4번,미곡판매,1.0
신금호역 골목형상점가,네일숍,1.0
신길2동우편취급국,노래방,1.0
신길3동주민센터,노래방,1.0
신길6동주민센터,PC방,1.0
신길대성유니드아파트,노래방,1.0
신길동홍어거리,노래방,1.0
신길새마을금고신길4동지점,노래방,1.0
신길역 1번,미용실,1.0
신길역 3번,미용실,1.0
신내1동주민센터,PC방,1.0
신내IC북측,반찬가게,1.0
신내역 1번,한식음식점,1.0
신내역 2번,분식전문점,1.0
신노량진시장(기능상실),PC방,1.0
신논현역,PC방,1.0
신논현역 1번,가구,1.0
신당 미래유산 먹거리 골목형상점가,노래방,1.0
신당역,PC방,1.0
신당역 3번,가구,1.0
신대림초등학교,노래방,1.0
신대방1동골목상권,PC방,1.0
신대방삼거리역,PC방,1.0
신대방삼거리역 1번,미용실,1.0
신대방삼거리역 3번,가구,1.0
신대방삼거리역 4번(대림초등학교),문구,1.0
신대방역 1번,PC방,1.0
신대방역 2번,PC방,1.0
신대방역 3번,노래방,1.0
신대방역 4번,PC방,1.0
신도림역,가구,1.0
신도봉시장,가구,1.0
신동시장,수산물판매,1.0
신림역 1번,PC방,1.0
"신림역 5번(신림동주민센터, 신림동별빛거리)",PC방,1.0
신림역 8번,가구,1.0
신림역(신림),PC방,1.0
신림우방아파트,노래방,1.0
신림종합시장,미용실,1.0
신림주공2단지(광신고등학교),분식전문점,1.0
신림중앙시장(조원동 펭귄시장),미용실,1.0
신림초등학교,문구,1.0
신림현대아파트,가구,1.0
신림현대종합상가,미용실,1.0
신목동역,미용실,1.0
신묵초등학교,가전제품수리,1.0
신방화역 2번,PC방,1.0
신방화역 8번,PC방,1.0
신사1동주민센터,가전제품,1.0
신사상가,네일숍,1.0
신사역,PC방,1.0
신사은행나무공원,미용실,1.0
신서초등학교,노래방,1.0
신설동역,가방,1.5
신설동역 12번,가구,1.0
신설동역 9번,가전제품수리,1.0
신성시장(신성골목시장),노래방,1.0
신성초등학교,PC방,1.0
신수동주민센터,노래방,1.0
신수시장,미용실,1.0
신신림시장(삼성동시장),반찬가게,1.0
신아타운,가방,1.0
신영시장,PC방,1.0
신용산역(용산역),가구,1.0
신우어린이공원,노래방,1.0
신원동주민센터,PC방,1.0
신원시장,가방,1.0
신월1동우편취급국,PC방,1.0
신월1동주민센터,PC방,1.0
신월1파출소,PC방,1.0
신월2동주민센터,가구,1.0
신월3동 골목시장,가전제품,1.0
신월3동주민센터,가구,1.0
신월4동주민센터,네일숍,1.0
"신월7동 골목시장(약수시장, 우성상가)",PC방,1.0
신월7동주민센터,가전제품수리,1.0
신월문화체육센터,네일숍,1.0
신월시영아파트중문,가구,1.0
신월중앙시장,미용실,1.0
신월중학교,네일숍,1.0
신자초등학교,가구,1.0
신정1동 골목시장(신정제일시장),가방,1.0
신정2동 골목시장(오목교중앙시장),미용실,1.0
신정2동주민센터,골프연습장,1.0
신정3동 골목시장,PC방,1.0
신정네거리역,가구,1.0
신정네거리역 2번,가구,1.0
신정네거리역 4번,미용실,1.0
신정롯데캐슬아파트,PC방,1.0
신정역 1번,PC방,1.0
신정역 5번,PC방,1.0
신중초등학교,가전제품수리,1.0
신진과학기술고등학교,미곡판매,1.0
신창초등학교,가구,1.0
신촌 상인회(신촌상점가),PC방,1.0
신촌역 6번,노래방,1.0
"신촌역(신촌역, 신촌로터리)",PC방,1.0
신평화패션타운(청계6가 지하도상가),슈퍼마켓,1.0
신풍역 1번,노래방,1.0
신풍역 2번,반찬가게,1.0
신풍역 3번,노래방,1.0
신풍역 6번(신길6동공영주차장),가구,1.0
신한은행 방학동지점,PC방,1.0
신한은행 신월동지점,골프연습장,1.0
신흥시장,미용실,1.0
싸리고개근린공원,미용실,1.0
쌍문2동우체국,PC방,1.0
쌍문시장(쌍문역골목시장),네일숍,1.0
쌍문역1번(쌍리단길),노래방,1.0
쌍문역동측상점가,PC방,1.0
쌍문역둘리상점가,PC방,1.0
쌍문초등학교,네일숍,1.0
아래방죽마을공원(율현초등학교),세탁소,1.0
아차산역,가구,1.0
아차산역 1번,PC방,1.0
아차산역 5번,가구,1.0
아카데미하우스,노래방,1.0
아현가구거리상점가,가구,1.0
아현시장,골프연습장,1.0
아현역 1번,노래방,1.0
아현역 2번,가전제품,1.0
아현역 4번,반찬가게,1.0
안암역,노래방,1.0
안암역 2번,PC방,1.0
안암역 3번,PC방,1.0
암사동성당(효정하나플러스아파트),PC방,1.0
암사역,PC방,1.0
암사역 1번,가전제품수리,1.0
암사역 2번(서울강동초등학교),PC방,1.0
암사역 3번(천호동자전거거리),가구,1.0
암사역 4번(삼성광나루아파트),미용실,1.0
암사종합시장,PC방,1.0
압구정로데오역(압구정로데오),PC방,1.0
압구정역,PC방,1.0
애오개역 3번,미용실,1.0
약수시장,PC방,1.0
약수역,PC방,1.0
약수역 7번,미용실,1.0
양목초등학교,미용실,1.0
양원초등학교,미용실,1.0
양재근린공원(양재2동주민센터),분식전문점,1.0
"양재시민의숲역(양재동꽃시장, aT센터)",네일숍,1.0
양재시장,노래방,1.0
양재역,PC방,1.0
양재역 8번(양재동우체국),PC방,1.0
양재천카페거리,가구,1.0
양재화물트럭터미널앞,가구,1.0
양지어린이공원,당구장,1.0
양천향교역 2번,노래방,1.0
양천향교역 5번,PC방,1.0
양천향교역 7번,네일숍,1.0
양평역,당구장,1.0
양평역 2번,가전제품,1.0
양화대교북단,미용실,1.5
양화초등학교,네일숍,1.0
어린이대공원역,PC방,1.0
어린이대공원역 3번,PC방,1.0
어린이대공원역 4번,노래방,1.0
언남고등학교,문구,1.0
언북중학교,미용실,1.0
언북초등학교,미용실,1.0
언주역 3번,PC방,1.0
언주역 6번,PC방,1.0
언주역 8번,미용실,1.0
언주역(차병원),PC방,1.0
언주중학교,네일숍,1.0
에리어식스(벨포스트),슈퍼마켓,1.0
엔터식스 강남점,가방,1.0
여의도역(여의도),가방,1.0
역삼역,PC방,1.0
역삼역 4번,가전제품수리,1.0
역삼역 8번,고시원,1.0
역삼월드메르디앙아파트,미용실,1.0
역촌노인복지관,PC방,1.0
역촌역 2번,미용실,1.0
역촌역 3번,PC방,1.0
역촌중앙시장,미곡판매,1.0
연가초등학교,당구장,1.0
연남동(홍대),PC방,1.0
연산군묘,미용실,1.0
연서시장,PC방,1.0
연신내상점가(연빛거리),PC방,1.0
연신내역,PC방,1.0
연신내역 2번,노래방,1.0
연신내역 3번,가구,1.0
연신내역 4번,네일숍,1.0
연신내역 5번,골프연습장,1.0
연신내역 7번,노래방,1.0
연신내우체국,가구,1.0
연신초등학교,문구,1.0
연천초등학교,노래방,1.0
연트럴파크(연남동주민센터),미용실,1.0
연희대우아파트앞,PC방,1.0
연희동,PC방,1.0
연희사러가,가전제품,1.0
연희세브란스병원,분식전문점,1.0
연희어린이공원,미용실,1.0
연희임광아파트,가구,1.0
연희지하차도,미용실,1.0
연희초등학교,PC방,1.0
연희파출소,골프연습장,1.0
열정도,분식전문점,1.0
염곡동 구룡사(포이동성당),가구,1.0
염리초등학교,당구장,1.0
염창무학아파트,노래방,1.0
염창역 2번,골프연습장,1.0
영동교골목시장,미용실,1.0
영동대교남단,스포츠 강습,1.0
영동대교남단교차로,골프연습장,1.0
영동전통시장,가구,1.0
영동초등학교,골프연습장,1.0
영등포구청역,PC방,1.0
영등포구청역 2번,PC방,1.0
영등포구청역 6번,문구,1.0
영등포동성당,가전제품,1.0
영등포로타리지하도상점가,신발,1.0
영등포본동주민센터,가구,1.0
영등포시장기계공구상가,가구,1.0
영등포시장역 1번,노래방,1.0
영등포시장역 3번,당구장,1.0
영등포시장역 4번,노래방,1.0
영등포역 2번,PC방,1.0
영등포역(영등포),PC방,1.0
영등포역지하도상점가,가방,1.0
영등포유통상가,가전제품,1.0
영등포전통시장,노래방,1.0
영등포청과시장(조광시장),가전제품수리,1.0
영등포청과시장교차로,골프연습장,1.0
영등포푸르지오아파트,노래방,1.0
영락고등학교,PC방,1.0
영림시장,PC방,1.0
영서중학교,골프연습장,1.0
영신상가(제일상가),반찬가게,1.0
영신여고,골프연습장,1.0
영신초등학교,PC방,1.0
영일시장,미용실,1.0
영중로,가구,1.0
영진시장,반찬가게,1.0
영진시장A동,슈퍼마켓,1.0
영천시장,PC방,1.0
영천시장입구,네일숍,1.0
예술인마을,미용실,1.0
예일여고,가전제품수리,1.0
오!도봉거리 상점가,노래방,1.0
오거리공원,가전제품수리,1.0
오금공원(오주중학교),PC방,1.0
오금역,PC방,1.0
오금역 4번,골프연습장,1.0
오동나무공원(송파레미니스1단지),가전제품수리,1.0
오류2동버들시장,PC방,1.0
오류고등학교,미용실,1.0
오류동역,PC방,1.0
오류동역 1번,미용실,1.0
오류동역 3번,가구,1.0
오류동역 4번,미용실,1.0
오류시장,PC방,1.0
오류지구대,당구장,1.0
오목교역,PC방,1.0
오산고등학교,미곡판매,1.0
오산중학교,슈퍼마켓,1.0
옥수동우편취급국,슈퍼마켓,1.0
옥수역 6번,노래방,1.0
옥수터널,예술학원,1.0
옥정중학교,스포츠클럽,1.0
온수역 1번,PC방,1.0
온수역 5번(온수산업단지),노래방,1.0
온수역 8번,문구,1.0
올림픽대교북단,PC방,1.0
왕십리도선동상점가,PC방,1.0
왕십리역 9번,고시원,1.0
왕십리역(왕십리),PC방,1.0
왕십리파출소,노래방,1.0
외대앞역 1번,PC방,1.0
외대앞역 2번,노래방,1.0
용강동 상점가,골프연습장,1.0
용강동주민센터,미용실,1.0
용두동신동아아파트,가전제품수리,1.0
용두사거리,당구장,1.0
용두시장,분식전문점,1.0
용두초등학교,슈퍼마켓,1.0
용두희망어린이공원,가전제품수리,1.0
용마문화복지센터,PC방,1.0
용마초등학교,가방,1.0
용산구청,가방,1.0
용산세무서,패스트푸드점,1.0
용산용문시장,가구,1.0
용산전자상가(용산역),가구,1.0
우리시장,노래방,1.0
우리은행응암동지점,PC방,1.0
우리은행체육관,미곡판매,1.0
우림골목시장,PC방,1.0
우림시장,노래방,1.0
우면주공아파트,PC방,1.0
우사단길,네일숍,1.0
우이골목시장(우이시장),가구,1.0
우이천 계성교,PC방,1.0
우장산롯데캐슬아파트앞,PC방,1.0
우장산역 1번,가전제품수리,1.0
우장산역 4번,PC방,1.0
우장산힐스테이트,골프연습장,1.0
원남동사거리,미곡판매,1.0
원신초등학교(구세군관악영문교회),가구,1.0
월계역 3번,미용실,1.0
월곡역,네일숍,1.0
월곡역 4번,조명용품,1.0
월드순복음교회,골프연습장,1.0
월드컵경기장역(월드컵경기장),네일숍,1.0
월정로시장,가구,1.0
윗방죽마을공원,미용실,1.0
유엔빌리지길,세탁소,1.0
유영시장,중식음식점,1.0
유진상가,당구장,1.0
은곡마을(은곡마을공원),PC방,1.0
은광여고,스포츠 강습,1.0
은마아파트,PC방,1.0
은천초등학교(은천교앞),PC방,1.0
은평구청,PC방,1.0
은평세무서,가구,1.0
은평요양병원,가구,1.0
은행나무시장,노래방,1.0
은행사거리,PC방,1.0
을지로2가,문구,1.0
을지로3가역,가구,1.0
을지로4가역,가구,1.0
을지로입구역,골프연습장,1.0
을지로지하보도쇼핑센터(을지입구지하상가),반찬가게,1.0
응봉산,노래방,1.0
응암1동주민센터,미용실,1.0
응암3동주민센터,가구,1.0
응암동우체국,PC방,1.0
응암시장(신응암시장),노래방,1.0
응암역,골프연습장,1.0
응암역 2번,미용실,1.0
응암역 3번,PC방,1.0
응암오거리상점가,PC방,1.0
응암정보도서관,가구,1.0
의릉,미용실,1.0
이경시장,미용실,1.0
이대 앞 스타트업 상점가,네일숍,1.0
이대역 5번,가전제품,1.0
이문제일시장,PC방,1.0
이북5도청사,노래방,1.0
이수역 10번,가구,1.0
이수역 5번,PC방,1.0
이수역 9번,노래방,1.0
이촌동점보아파트,미용실,1.0
이촌종합시장,노래방,1.0
이태원 관광특구,가구,1.0
이태원(이태원역),가방,1.0
이태원시장,가방,1.0
이태원엔틱가구거리,가구,1.0
이태원역 북측,미용실,1.0
이화달팽이길,노래방,1.0
이화사거리,가방,1.0
"이화여대 3,5,7길 상점가",가방,1.0
"이화여대(이대역, 이대)",PC방,1.0
인사동,가방,1.0
인수동 우편취급국,가구,1.0
인수중학교,문구,1.0
인수초등학교,슈퍼마켓,1.0
인왕시장(홍제골목형상점가),노래방,1.0
인헌고등학교(인헌중학교),당구장,1.0
인헌시장(원당종합시장),가방,1.0
인현시장,당구장,1.0
자동차부품상가,노래방,1.0
자양4동주민센터,가구,1.0
자양골목전통시장(자양골목시장),노래방,1.0
자양동우체국,노래방,1.0
자양한강도서관,PC방,1.0
자하문터널,미용실,1.0
잠실 관광특구,PC방,1.0
잠실나루역,미용실,1.0
잠실새내역(신천),PC방,1.0
잠실역,가방,1.0
잠원역,미용실,1.0
장곡초등학교,노래방,1.0
장로회신학대학교,미용실,1.0
장미원골목시장,노래방,1.0
장미제일시장(중화동제일시장),노래방,1.0
장석교회,미용실,1.0
장스여성병원,노래방,1.0
장승배기역,PC방,1.0
장승배기역 4번,PC방,1.0
장승배기역 5번,가구,1.0
장신구 특화거리 상점가,문구,1.0
장안1동주민센터,가전제품,1.0
장안교,미용실,1.0
장안근린공원,가전제품수리,1.0
장안동사거리,PC방,1.0
장안제일시장,네일숍,1.0
장안중학교,노래방,1.0
장안초등학교,미용실,1.0
장안현대홈타운1차아파트,네일숍,1.0
장위1동주민센터,PC방,1.0
장위동성당,분식전문점,1.0
장위전통시장,가구,1.0
장지동주민센터(한림연예예술고교),PC방,1.0
장지역(가든파이브),PC방,1.0
장충단 고개,노래방,1.0
장충동족발거리(남소영길),노래방,1.0
장충동주민센터,미용실,1.0
장충초등학교,가방,1.0
장평중학교,가전제품수리,1.0
장한평역(장한평),PC방,1.0
장훈고등학교,가구,1.0
전곡마을마당공원,PC방,1.0
전곡시장,가구,1.0
전농119안전센터,노래방,1.0
전농1동주민센터(전농시장),가구,1.0
전농로터리시장,PC방,1.0
전농중학교,네일숍,1.0
절두산순교성지,양식음식점,1.0
정곡초등학교,자동차미용,1.0
정독도서관,양식음식점,1.0
정릉3동주민센터,노래방,1.0
정릉골 골목형상점가,PC방,1.0
정릉북한산국립공원입구,노래방,1.0
정릉시장,PC방,1.0
정릉아리랑시장,PC방,1.0
정릉역 1번,PC방,1.0
정릉역 2번,골프연습장,1.0
정릉우체국,네일숍,1.0
정원여중,문구,1.0
제기동역 1번,가전제품수리,1.0
제기동역 6번,가방,1.0
제일시장,PC방,1.0
제일평화시장,미용실,1.0
조양시장,가전제품,1.0
조원동 펭귄시장(신림중앙시장),가전제품수리,1.0
조원동주민센터,미용실,1.0
종각역,PC방,1.0
종로3가역,PC방,1.0
종로4가,가방,1.0
종로4가지하쇼핑센터,시계및귀금속,1.0
종로5가역,가방,1.0
종로5가역 4번,시계및귀금속,1.0
종로6가,당구장,1.0
종로·청계 관광특구,PC방,1.0
종로구청,당구장,1.0
종로신진시장,가방,1.0
종암경찰서,네일숍,1.0
종암동주민센터,PC방,1.0
종암아이파크2차,PC방,1.0
종암아이파크2차후문,서적,1.0
종암중학교,PC방,1.0
종암초등학교,미용실,1.0
중계초등학교,골프연습장,1.0
중곡1동 마을마당,노래방,1.0
중곡1동주민센터,미용실,1.0
중곡3동주민센터,PC방,1.0
중곡4동주민센터,노래방,1.0
중곡어린이공원,노래방,1.0
중곡역 3번,PC방,1.0
"중곡제일시장(중곡제일골목시장, 광성시장)",가방,1.0
중곡초등학교,노래방,1.0
중구청(퇴계로4가),가구,1.0
중구회현체육센터(정화예술대남산캠퍼스),미용실,1.0
중대부중,미용실,1.0
중랑노인종합복지관,당구장,1.0
중랑동부시장,PC방,1.0
중랑동부시장(중랑교종합상가),가방,1.0
중랑역 1번,가구,1.0
중랑역 2번,노래방,1.0
중랑역 4번,노래방,1.0
중림동,가전제품,1.0
중부경찰서(영화인의거리),가방,1.0
중부시장(신중부시장),가구,1.0
중암중학교,미용실,1.0
중앙고등학교,가방,1.0
중앙대학교,PC방,1.0
중앙보훈병원,미용실,1.0
중화역 1번,네일숍,1.0
중화역 4번,PC방,1.0
증산3교남측,인테리어,1.0
증산골목시장,미용실,1.0
증산역 1번,PC방,1.0
증산역 3번,골프연습장,1.0
증산역 4번,가전제품,1.0
증산종합시장,미곡판매,1.0
지향초등학교,PC방,1.0
창2동주민센터,네일숍,1.0
창덕궁,반찬가게,1.0
창동골목시장,노래방,1.0
창동신창시장,PC방,1.0
창동역,PC방,1.0
창동역 2번,네일숍,1.0
창동역상점가,PC방,1.0
창동중학교,분식전문점,1.0
창신1동주민센터,일반의류,1.0
창신골목시장,가전제품,1.0
창신역 1번,네일숍,1.0
창신역 4번,미용실,1.0
천동초등학교,미용실,1.0
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",가전제품수리,1.0
천일초등학교,미곡판매,1.0
천호1동주민센터,가전제품,1.0
천호공원(해공체육문화센터),가구,1.0
천호역,PC방,1.0
천호역 1번(천호문구완구거리),노래방,1.0
천호역 6번,노래방,1.0
천호지구대(천호동자전거거리),골프연습장,1.0
천호초등학교,노래방,1.0
천호태영아파트,세탁소,1.0
청계6가 지하도상가,가방,1.0
청계산원터골,분식전문점,1.0
청계산입구역 2번(내곡동주민센터),운동/경기용품,1.0
청계천공구상가,당구장,1.0
청계천박물관,미용실,1.0
청구역 1번,가전제품수리,1.0
청구역 3번,PC방,1.0
청담근린공원,미용실,1.0
청담사거리(청담동명품거리),가구,1.0
청담삼익시장,가방,1.0
청담역 12번,반찬가게,1.0
청담역 3번,미용실,1.0
청담초등학교,미용실,1.0
청량리농수산물시장,미곡판매,1.0
청량리수산시장,가구,1.0
청량리역(청량리),PC방,1.0
청량리전통시장,PC방,1.0
청량리종합시장,가방,1.0
청량리청과물시장,노래방,1.0
청량종합도매시장,PC방,1.0
청량초등학교,가구,1.0
청룡동주민센터,PC방,1.0
청림동주민센터(상도중학교),미용실,1.0
청와대사랑채,양식음식점,1.0
청운초등학교,중식음식점,1.0
청평화시장,슈퍼마켓,1.0
체부동홍종문가옥,시계및귀금속,1.0
"총신대입구역(이수, 총신대)",PC방,1.0
총신대학교,문구,1.0
촬영소사거리,골프연습장,1.0
충무로역,PC방,1.0
충무초등학교,PC방,1.0
충신시장,가전제품,1.0
충신시장옆,슈퍼마켓,1.0
충정로역,네일숍,1.0
충정로역 3번,분식전문점,1.0
충정로역 6번,가구,1.0
충정로역 7번,가구,1.0
충정로현대아파트,골프연습장,1.0
코엑스,가구,1.0
큰굴다리,네일숍,1.0
태능엔터피아(태릉시장),PC방,1.0
태릉시장 특화거리,가전제품,1.0
태릉입구역,PC방,1.0
태릉입구역 4번,네일숍,1.0
텃골근린공원,가전제품,1.0
테크노상가(엘리시움),미용실,1.0
통인시장,미용실,1.0
퇴계로5가,당구장,1.0
투구봉어린이공원,미용실,1.0
평창동동측,스포츠 강습,1.0
평창동서측,당구장,1.0
"평화시장(통일상가, 동화상가)",가방,1.0
포방터시장,노래방,1.0
포스코사거리,PC방,1.0
포이사거리(삼호물산),PC방,1.0
포이초등학교(개포목련어린이공원),가구,1.0
푸른동산공원,노래방,1.0
푸른들청소년도서관,PC방,1.0
풍납시장,PC방,1.0
풍납초등학교(풍납백제문화공원),예술학원,1.0
필동 골목형상점가,미용실,1.0
하나고등학교,가구,1.0
하나은행 망우동지점,가전제품수리,1.0
학동근린공원,문구,1.0
학동사거리,PC방,1.0
학동역,PC방,1.0
학동초등학교,가구,1.0
한강로동땡땡거리(은행나무길),가전제품,1.0
한강미주맨션아파트,당구장,1.0
한강성심병원,고시원,1.0
한강진역 3번,미용실,1.0
한겨레신문사,미용실,1.0
한국SGI본부,노래방,1.0
한국교통안전공단 강남자동차검사소,골프연습장,1.0
한국상담대학원대학교,문구,1.0
한국의류시험연구원,분식전문점,1.0
한국폴리텍대학서울정수캠퍼스,골프연습장,1.0
한남IC,골프연습장,1.0
한남오거리,골프연습장,1.0
한남초등학교,스포츠클럽,1.0
한남힐사이드아파트,미용실,1.0
한림대학교한강성심병원,반찬가게,1.0
한성대입구역,가구,1.0
한성대입구역 3번,PC방,1.0
한성대입구역 5번,골프연습장,1.0
한성백제역 3번,가구,1.0
한아름시장,당구장,1.0
한양공고앞 교차로,미용실,1.0
"한양대앞상점가(한양시장, 왕십리맛골목)",PC방,1.0
한양대역 4번,고시원,1.0
한영중고,네일숍,1.0
한울중학교,PC방,1.0
한일병원,서적,1.0
한전아트센터,PC방,1.0
한티역,고시원,1.0
합정시장,분식전문점,1.0
합정역,PC방,1.0
합정역 8번,노래방,1.0
해방촌 남동측,노래방,1.0
해방촌예술마을,가전제품,1.0
해오름공원,PC방,1.0
행당시장상점가,PC방,1.0
행당역 2번,미용실,1.0
헌인가구단지,가구,1.0
혜원여고,노래방,1.0
혜화역 1번,문구,1.0
혜회동주민센터,미용실,1.0
호림박물관(성보고등학교),골프연습장,1.0
홍남교남측,자동차수리,1.0
홍대 걷고싶은 거리,가방,1.0
홍대땡땡거리,가전제품,1.0
홍대부속여중고앞,네일숍,1.0
홍대부중,반찬가게,1.0
홍대소상공인상점가,가방,1.0
홍대입구역 3번,노래방,1.0
홍대입구역(홍대),PC방,1.0
홍릉근린공원,미용실,1.0
홍릉시장,가전제품,1.0
홍연시장,네일숍,1.0
홍은종합사회복지관,가전제품수리,1.0
홍은중학교,미용실,1.0
홍익대,미용실,1.0
홍익지구대,문구,1.0
홍제3동주민센터,PC방,1.0
홍제성원아파트,미용실,1.0
홍제역,PC방,1.0
홍제역 2번,네일숍,1.0
홍제역 3번,미용실,1.0
홍제역 4번,미용실,1.0
홍지문,슈퍼마켓,1.0
홍파초등학교,노래방,1.0
화계역 2번,미용실,1.0
화계중학교,반찬가게,1.0
화곡2동주민센터,PC방,1.0
화곡4동주민센터,미용실,1.0
