,이름,행정동,점수,별점,좋아요
0,안주마을 서촌,사직동,68,4.4,249
1,포담 서촌,사직동,68,4.1,389
2,유유안 광화문,사직동,67,4.5,90
3,광화문뚝감 광화문,사직동,66,4.2,114
4,후라토 경복궁,사직동,65,4.4,73
5,파네트 크루아상팩토리 광화문,사직동,64,4.6,7
6,오가와 광화문,사직동,64,4.9,323
7,TIMT 광화문,사직동,64,4.4,1
8,네기 실비 광화문,사직동,61,5.0,30
9, 포시즌스 호텔 서울 보칼리노 광화문,사직동,61,4.2,50
10, 궤도 서촌,사직동,61,4.6,13
11, 포시즌스호텔서울 찰스H 종로구,사직동,61,4.5,28
12, 뽐모도로 광화문지점,사직동,61,4.3,89
13, 힐사이드테이블 광화문,사직동,61,3.9,23
14, 홈보이서울 서촌,사직동,61,4.6,16
15, 김진목삼 서촌,사직동,61,4.6,43
16, 쏘리에스프레소바 종로구,사직동,61,4.4,4
17, 스태픽스 서촌,사직동,61,4.2,26
18, 루뽀 광화문,사직동,60,4.5,20
19, 산정집 광화문,사직동,59,4.3,85
20, 서촌계단집 경복궁역,사직동,59,3.4,625
21, 타펠룬데 서울 경복궁,사직동,59,4.6,34
22, 통인동커피공방 서촌,사직동,59,4.0,73
23, 라면점빵 서촌,사직동,59,4.4,197
24, 할매집 경복궁역,사직동,59,4.0,201
25, 버거드조선 경복궁역,사직동,59,4.6,7
26, 포시즌스호텔 서울 더 마켓 키친 종로구,사직동,58,4.2,28
27, 강남면옥 정동,사직동,58,4.4,34
28, 알레그리아 덕수궁 디팰리스점,사직동,58,4.7,4
29, 깜온 경복궁역,사직동,57,4.4,13
30, 디언타이틀드 카페 광화문,사직동,57,4.5,5
31, 아키라백 광화문,사직동,57,4.6,8
32, 나주소나주곰탕 광화문,사직동,57,4.4,7
33, 코블러 서촌,사직동,57,4.5,30
34, 도토리브라더스 서촌,사직동,56,4.0,65
35, 고가빈커리하우스 광화문,사직동,56,3.9,133
36, 능라도 광화문점,사직동,56,4.1,19
37, 네기 스키야키 광화문점,사직동,56,5.0,6
38, 화목순대국전문 광화문,사직동,55,3.9,81
39, 암소서울 광화문,사직동,55,4.2,15
40, 텐더바 광화문,사직동,55,5.0,16
41, 부산집막국수 경복궁역,사직동,55,4.4,5
42, 신안촌 경복궁역,사직동,55,4.7,50
43, 따빠마드레 종로구,사직동,55,4.0,52
44, 돈까스백반 정동점,사직동,55,4.2,85
45, 나무사이로 광화문,사직동,54,4.0,86
46, 광화문허니즉석떡볶이 광화문역,사직동,54,4.7,3
47, 폴앤폴리나 광화문점,사직동,54,4.2,30
48, 광화문집 광화문역,사직동,54,3.6,499
49, 전주콩나물해장국 경복궁역,사직동,54,4.0,3
50, 안성또순이 광화문,사직동,54,4.0,19
51, 감성타코 광화문점,사직동,53,4.0,189
52, 깡장집 본점,사직동,53,4.5,21
53, 정선할매곤드레밥 경복궁,사직동,53,4.2,2
54, 엘 꾸비또 광화문,사직동,53,4.1,10
55, 커피스트 종로구,사직동,53,4.2,57
56, 시카노이에 신문로,사직동,53,4.1,37
57, 미미쌀국수 광화문,사직동,53,4.5,9
58, 한일관 서울라이트 디팰리스점,사직동,52,4.6,2
59, 칼리가리박사의밀실 서촌,사직동,52,4.5,19
60, 뼈탄집 서촌,사직동,52,4.6,6
61, 야마야 광화문,사직동,52,4.0,54
62, 철판남 서촌,사직동,52,4.3,46
63, 평안도만두집 광화문,사직동,52,3.8,300
64, 일품당프리미엄 광화문,사직동,52,5.0,6
65, 스시산원 경 광화문,사직동,52,4.1,21
66, 해물데이트 경복궁역,사직동,51,4.8,9
67, 효도치킨 광화문점,사직동,51,4.4,2
68, 모담다이닝 신문로,사직동,51,5.0,1
69, 어바웃진스 광화문,사직동,51,3.9,37
70, 빚짜 서촌,사직동,50,3.9,200
71, 광화문더덕순대 광화문,사직동,50,4.3,20
72, 스타벅스 정동점,사직동,50,4.7,1
73, 심플리커피 경복궁,사직동,50,4.5,2
74, 하루 서촌,사직동,50,4.8,1
75, 사발 경복궁역,사직동,50,3.5,136
76, 조우 광화문,사직동,50,4.5,22
77, 포비브라이트 광화문점,사직동,50,4.0,9
78, 모던김밥 경복궁역,사직동,49,4.2,23
79, 경희궁 광화문,사직동,49,5.0,5
80, 스타벅스 정부서울청사R점,사직동,49,4.2,1
81, aoc 서촌,사직동,49,4.7,0
82, FOLKI 서촌,사직동,49,4.5,6
83, 던킨도너츠 경복궁포레스트병원점,사직동,49,4.7,1
84, 한스구튀 광화문,사직동,49,5.0,2
85, 소문 광화문점,사직동,49,4.4,67
86, 빽다방 경복궁역점,사직동,49,5.0,0
87, 팔마 서촌,사직동,49,5.0,5
88, 춘리마라탕 광화문,사직동,49,4.0,18
89, 황생가칼국수 광화문점 신문로1가,사직동,48,4.5,1
90, 내자상회 서촌,사직동,48,3.9,10
91, 꼬꼬뚝닭 광화문,사직동,48,5.0,4
92, 포시즌스호텔서울 컨펙션바이포시즌스 광화문,사직동,48,3.8,7
93, 펀치스낵 종로,사직동,48,4.0,0
94, 평가옥 광화문점,사직동,48,3.4,86
95, 스타벅스 적선점,사직동,47,3.8,0
96, 스파게티가있는풍경 광화문역,사직동,47,4.0,9
97, 고봉삼계탕 광화문점,사직동,47,5.0,1
98, 아우어베이커리 광화문디팰리스점,사직동,47,4.0,3
99,. 샌드윕 광화문,사직동,47,5.0,1
100,깡통만두 북촌,삼청동,82,4.3,739
101,소금집 델리 안국점,삼청동,79,4.4,108
102,다운타우너 안국점,삼청동,76,4.4,66
103,스미스가좋아하는한옥 삼청동,삼청동,75,4.3,396
104,오레노라멘 인사점,삼청동,75,4.7,77
105,런던 베이글 뮤지엄 안국,삼청동,70,4.2,36
106,천하보쌈 안국역,삼청동,68,4.4,50
107,라면 땡기는 날 삼청동,삼청동,67,4.1,352
108,랜디스도넛 안국점,삼청동,64,4.2,5
109, 황생가칼국수 북촌,삼청동,64,4.0,251
110, 유즈라멘 안국점,삼청동,64,4.5,25
111, 몽중헌 안국점,삼청동,64,4.3,115
112, 차 마시는 뜰 북촌한옥마을,삼청동,64,4.1,221
113, 슬로우파크 삼청동,삼청동,64,4.7,53
114, 삼청동수제비 삼청동,삼청동,63,3.8,454
115, 삼청빙수 삼청동,삼청동,63,4.4,101
116, 반타이 안국역,삼청동,63,4.0,38
117, 플롭 안국 안국역,삼청동,62,4.4,27
118, 레이어드 안국점,삼청동,62,3.8,205
119, 안암 북촌,삼청동,62,4.3,5
120, 부영 도가니탕 북촌,삼청동,62,4.7,52
121, 북촌손만두 북촌점,삼청동,62,4.3,120
122, 어니언 안국점,삼청동,60,3.8,55
123, 텅 안국역,삼청동,60,4.2,8
124, 연남토마 북촌점,삼청동,59,4.2,15
125, 풍년쌀농산 북촌,삼청동,59,3.7,498
126, 카페노티드 안국점,삼청동,59,3.9,25
127, 서울서 둘째로 잘하는집 삼청동,삼청동,58,4.3,92
128, 꾸까 광화문점,삼청동,58,4.2,10
129, 프릳츠 원서점,삼청동,58,4.1,29
130, 우드앤브릭 재동점,삼청동,58,3.9,69
131, 북촌도담 북촌,삼청동,57,4.3,27
132, 로우루프 북촌,삼청동,57,4.5,7
133, 부띠끄경성 삼청동,삼청동,57,4.1,526
134, 티 테라피 안국역,삼청동,57,4.3,41
135, 블루보틀 삼청점,삼청동,57,3.7,25
136, 커피브론즈 안국역,삼청동,56,4.6,5
137, 기와탭룸 삼청동,삼청동,56,3.9,279
138, 한가네불고기 인사동,삼청동,56,4.7,17
139, 합 원서점,삼청동,56,4.2,12
140, 후스테이블 안국역,삼청동,56,4.5,96
141, 도트 블랭킷 안국역,삼청동,56,4.3,17
142, 대장장이 화덕피자 북촌,삼청동,56,4.0,114
143, 커피방앗간 북촌,삼청동,55,4.1,179
144, 토오베 안국역,삼청동,55,4.4,7
145, 조선김밥 삼청동,삼청동,55,3.4,11
146, 리틀버틀러 안국역,삼청동,55,4.3,9
147, 푸른별 주막 인사동,삼청동,54,4.0,13
148, 조금 인사동,삼청동,54,3.7,138
149, 화양연화 북촌,삼청동,54,4.0,166
150, 스미레돈카츠 안국점,삼청동,54,4.3,8
151, 북촌김치재 안국역,삼청동,53,4.0,31
152, 도라보울 북촌,삼청동,53,4.0,2
153, 오설록 티하우스 북촌점,삼청동,53,3.9,5
154, 안국153 안국역,삼청동,53,3.9,74
155, 소소하게 삼청동,삼청동,53,4.5,3
156, 7.8 2호점,삼청동,53,4.9,3
157, 누룩나무 인사동,삼청동,53,4.4,11
158, After Work33 종로,삼청동,53,5.0,23
159, PKM가든 레스토랑 & 카페 삼청동,삼청동,53,4.5,6
160, 비담 가회동,삼청동,52,4.5,2
161, 꽃 밥에피다 안국역,삼청동,52,4.5,66
162, 단상 북촌,삼청동,52,4.3,21
163, 수와래 삼청동,삼청동,52,4.1,93
164, C 플라밍고 삼청동,삼청동,52,4.3,149
165, 큰기와집 안국역,삼청동,52,4.0,295
166, 백미당 삼청점,삼청동,52,4.3,1
167, 호아드 삼청동,삼청동,52,4.6,43
168, TXT Coffee 북촌,삼청동,52,4.7,15
169, 모도우 광화문,삼청동,52,4.4,12
170, 먹쉬돈나 삼청동점,삼청동,51,3.5,170
171, 오픈원 안국역,삼청동,51,4.0,1
172, 블루보틀 삼청 한옥,삼청동,51,3.9,4
173, 헤비스테이크 안국역,삼청동,51,4.3,4
174, 애호락 계동,삼청동,51,4.1,10
175, 와이엔 삼청동,삼청동,51,4.6,4
176, 더베이커스테이블 삼청동,삼청동,51,3.9,28
177, 청수정 삼청동,삼청동,50,3.8,53
178, 피크닉 북촌한옥마을,삼청동,50,4.0,1
179, 미트볼라운지 삼청점,삼청동,50,4.3,1
180, 땡스오트 안국 안국역,삼청동,50,4.3,5
181, 플로라 삼청동,삼청동,50,4.1,9
182, 가배도 삼청점,삼청동,50,3.7,9
183, 제이네 북촌,삼청동,50,4.5,7
184, 이도곰탕 계동직영점,삼청동,50,4.0,2
185, 호랑이카레 북촌,삼청동,49,3.7,35
186, 중경삼림 북촌,삼청동,49,4.3,48
187, 핑크래빗가든 종로,삼청동,49,3.8,1
188, 오설록 현대미술관점,삼청동,49,3.8,21
189, 테라로사 국립현대미술관(서울)점,삼청동,49,4.0,7
190, 갓잇 안국점,삼청동,49,4.7,4
191, 밀과보리 계동,삼청동,49,4.5,3
192, 톤티커피 안국역,삼청동,48,3.8,2
193, 퀸넬브릴 삼청동,삼청동,48,4.1,0
194, 눈나무집 삼청동,삼청동,48,3.6,206
195, 니르바나 인사동,삼청동,48,5.0,4
196, 이태리재 삼청동,삼청동,48,3.2,210
197, 미술관옆 돈까스 삼청동,삼청동,48,3.6,63
198, mishmash 창덕궁,삼청동,48,4.2,3
199,. 사월의물고기 연남동,삼청동,48,4.7,14
200,스코프 부암동,부암동,73,4.3,157
201,자하손만두 부암동,부암동,73,4.0,459
202,부빙 부암동,부암동,62,4.3,54
203,계열사 부암동,부암동,59,3.8,291
204,국시랑만두 부암동,부암동,58,4.1,19
205,스톤힐 부암동,부암동,55,4.3,49
206,맘스키친 부암동,부암동,54,4.7,2
207,소소한 풍경 부암동,부암동,52,4.6,96
208,클럽 에스프레소 부암동,부암동,51,3.7,54
209, 명란식당 부암동,부암동,51,4.8,12
210, 몽유도원 도이창 부암동,부암동,50,4.6,4
211, 송스키친 세검정,부암동,50,4.4,54
212, 프루티에 종로구,부암동,50,4.6,0
213, 다움 부암동,부암동,49,4.3,15
214, 아델라베일리 북악스카이웨이,부암동,49,3.5,61
215, 꼰떼 부암동,부암동,49,5.0,2
216, 몽핀 부암동,부암동,49,4.0,2
217, 산모퉁이 부암동,부암동,49,3.4,108
218, 석파랑 부암동,부암동,49,5.0,27
219, 데미타스 부암동,부암동,47,4.0,77
220, 레이지버거클럽 부암동,부암동,47,4.1,6
221, 스탐티쉬 부암동,부암동,46,4.5,2
222, 묘한빵집 부암동,부암동,46,4.1,2
223, 천진포자 부암동점,부암동,46,4.1,21
224, 부암동돈가스집1979 부암동,부암동,45,4.0,6
225, 고블린 피자 부암동,부암동,44,4.0,2
226, 파란대문 부암동,부암동,43,3.6,29
227, 부암동쭈꾸미 부암동,부암동,43,4.0,5
228, 커피파운드 부암점,부암동,43,4.5,0
229, 세검정돈까스 부암동,부암동,43,4.7,1
230, 대평갈비 평창동,부암동,42,5.0,7
231, 스윗픽 서울중구,부암동,41,5.0,0
232, 에이커피 서울,부암동,41,4.0,0
233, 성곽마을삼층까페 부암동,부암동,41,3.6,3
234, 아트포라이프 부암동,부암동,40,4.0,7
235, 럼버잭 부암동,부암동,40,3.4,39
236, J's Creek 세검정,부암동,40,5.0,1
237, 싸리집 구기동,부암동,40,4.0,7
238, 제주면장 평창점,부암동,40,3.7,10
239, 라프라 부암동,부암동,39,5.0,0
240, 란저우 우육면 부암동,부암동,39,3.7,3
241, 소마 부암동,부암동,39,4.0,2
242, 백석동주 평창동,부암동,38,5.0,2
243, 제비꽃다방 부암동,부암동,37,3.0,6
244, 앤팩토리 세검정,부암동,37,4.0,0
245, 오병이어분식 평창동,부암동,37,5.0,0
246, 은혜식당 부암동,부암동,37,4.0,1
247, 하림각 부암동,부암동,37,4.0,1
248, 에크루 평창동,부암동,37,5.0,2
249, 스타벅스 종로평창동점,부암동,36,4.0,0
250, 춘천집 평창동,부암동,36,5.0,8
251, 부암김밥 부암동,부암동,36,4.0,8
252, 구기촌 종로구,부암동,36,5.0,2
253, 레이지 상명대,부암동,36,3.2,4
254, 이음 티하우스 부암동,부암동,35,4.0,1
255, 나뭇잎스시 부암동,부암동,35,2.0,9
256, 팔선생 상명대,부암동,35,4.2,2
257, 구기동오면 구기동,부암동,35,4.0,2
258, 평창동김밥 평창동,부암동,35,5.0,0
259, 카페비비 구기동,부암동,34,4.1,0
260, 창의문 뜰 부암동,부암동,34,3.0,1
261, 바베큐갤러리 평창동,부암동,34,0.0,1
262, 오마주 평창동,부암동,34,4.0,0
263, 몽모랑시제과점 평창동,부암동,34,0.0,3
264, 가미우동 부암동점,부암동,33,0.0,5
265, 담 평창동,부암동,33,0.0,4
266, 오장동함흥냉면 종로구,부암동,33,3.0,1
267, 별뜨락 부암동,부암동,33,4.0,0
268, 동양방아간 부암동,부암동,33,3.0,0
269, 금해복집 구기동,부암동,33,0.0,1
270, 효모이야기 평창동,부암동,32,0.0,2
271, 도도앤틱카페 종로구,부암동,32,3.0,0
272, 두뿔이야기 구기동,부암동,32,1.0,2
273, 이천영양돌솥밥 평창동,부암동,32,2.0,1
274, 카페 애프터유 부암동,부암동,32,0.0,2
275, 히바치광 본점,부암동,32,0.0,1
276, 카페 순 부암동,부암동,32,0.0,1
277, 컵희 평창동,부암동,32,3.0,1
278, 락궁 평창동,부암동,32,2.0,0
279, 배스킨라빈스 평창점,부암동,32,0.0,2
280, 본죽 평창점,부암동,32,0.0,1
281, 평창동 칼국수 평창동,부암동,32,3.0,0
282, 밀롱가 부암동,부암동,31,0.0,1
283, 구기동면옥 종로,부암동,31,0.0,1
284, 중화정 상명대,부암동,31,0.0,0
285, 호림스시 종로구,부암동,31,0.0,0
286, 더피자랩 종로구,부암동,31,5.0,0
287, 부암동베이커리 부암동,부암동,31,0.0,0
288, 파파샌드 평창동,부암동,31,0.0,0
289, 원테이블(WONTABLE) 종로구,부암동,31,0.0,0
290, 파리바게뜨 평창점,부암동,31,0.0,0
291, 페리카나 세검정점,부암동,31,0.0,0
292, 부암동와플 부암동,부암동,31,0.0,0
293, 공감 북한산,부암동,31,0.0,0
294, 꼬들집 평창동,부암동,31,4.0,0
295, 카페비 구기동,부암동,31,0.0,0
296, 배스킨라빈스 종로구,부암동,31,0.0,0
297, 청와설렁탕 상명대,부암동,15,4.0,0
298, 르모브 부암동,부암동,15,5.0,0
299,. 유월 평창동,부암동,15,0.0,0
300,북악정 평창동,평창동,52,4.2,66
301,북커스 평창동,평창동,51,4.0,3
302,더 피아노 평창동,평창동,50,3.9,35
303,강촌쌈밥 평창동,평창동,50,4.1,52
304,수애뇨339 평창동,평창동,49,4.4,5
305,이식당 평창동,평창동,47,4.1,20
306,더코너키친 평창동,평창동,43,4.3,28
307,두레유 종로구,평창동,42,2.9,42
308,카페디 평창동,평창동,42,3.0,2
309, 대평갈비 평창동,평창동,42,5.0,7
310, 북악팔각정 북악스카이웨이,평창동,40,4.0,3
311, 제주면장 평창점,평창동,40,3.7,10
312, 키미아트 평창동,평창동,39,4.0,30
313, 카페 모뜨 평창동,평창동,39,4.0,21
314, 백석동주 평창동,평창동,38,5.0,2
315, 평창동의봄 평창동,평창동,38,5.0,9
316, 절벽 평창동,평창동,38,2.4,15
317, 오병이어분식 평창동,평창동,37,5.0,0
318, 스위스 와인 레스토랑 평창동,평창동,37,5.0,2
319, 에크루 평창동,평창동,37,5.0,2
320, 스타벅스 종로평창동점,평창동,36,4.0,0
321, 춘천집 평창동,평창동,36,5.0,8
322, 사미루 평창동,평창동,35,0.0,12
323, 평창동김밥 평창동,평창동,35,5.0,0
324, 바베큐갤러리 평창동,평창동,34,0.0,1
325, 오마주 평창동,평창동,34,4.0,0
326, 몽모랑시제과점 평창동,평창동,34,0.0,3
327, 담 평창동,평창동,33,0.0,4
328, 토속칼국수 평창동,평창동,33,0.0,2
329, 섬진강민물장어 평창동,평창동,33,0.0,4
330, 커핀그루나루 평창동점 평창동,평창동,32,0.0,2
331, 효모이야기 평창동,평창동,32,0.0,2
332, 산길 종로구,평창동,32,0.0,1
333, 이천영양돌솥밥 평창동,평창동,32,2.0,1
334, 김영희강남동태찜 평창점 평창동,평창동,32,0.0,2
335, 컵희 평창동,평창동,32,3.0,1
336, 락궁 평창동,평창동,32,2.0,0
337, 배스킨라빈스 평창점,평창동,32,0.0,2
338, 본죽 평창점,평창동,32,0.0,1
339, 평창동 칼국수 평창동,평창동,32,3.0,0
340, 하늘레스토랑 북악스카이웨이,평창동,31,0.0,0
341, 코지 종로구,평창동,31,0.0,0
342, 모터라이프 평창동,평창동,31,0.0,1
343, 호림스시 종로구,평창동,31,0.0,0
344, 다다 갤러리 카페 평창동,평창동,31,0.0,0
345, 두레유 (2호점) 2호점,평창동,31,0.0,0
346, 파파샌드 평창동,평창동,31,0.0,0
347, 착한해물찜 종로구,평창동,31,0.0,0
348, 파리바게뜨 평창점,평창동,31,0.0,0
349, 페리카나 세검정점,평창동,31,0.0,0
350, 꼬들집 평창동,평창동,31,4.0,0
351, 피자헛 평창본점,평창동,31,0.0,0
352, 배스킨라빈스 종로구,평창동,31,0.0,0
353, 칠성라멘 평창동,평창동,15,0.0,0
354, 카페 레시오 평창동,평창동,15,0.0,0
355, 프랭크버거 종로평창점,평창동,15,0.0,0
356, 구르메 평창동,평창동,15,0.0,0
357, 북악팔각정카페 북악스카이웨이,평창동,15,0.0,0
358, 세검정웰빙식당 종로구,평창동,15,0.0,0
359, GROUND62 평창동,평창동,15,0.0,0
360, 교촌치킨 평창점,평창동,15,0.0,0
361, 평창동북악정 신관 평창동,평창동,15,0.0,0
362, 카페세줄 평창동,평창동,15,0.0,0
363, 북트리 종로구,평창동,15,0.0,0
364, 정선곤드레쌈밥 평창동,평창동,15,0.0,0
365, 르트레라네 평창동,평창동,15,0.0,0
366, 토속만두국수 평창동,평창동,15,0.0,0
367, 도미노피자 평창점,평창동,15,0.0,0
368, 북경 평창동,평창동,15,0.0,0
369, 옥수산장 종로구,평창동,15,0.0,0
370, 카페블레싱 종로구,평창동,15,0.0,0
371,짱구떡볶이 독립문역,무악동,42,4.0,0
372,우주라이크커피 독립문역점,무악동,41,5.0,0
373,로제타 독립문역,무악동,41,4.0,0
374,따순초밥 독립문역,무악동,39,5.0,0
375,돈박 독립문역,무악동,38,4.0,5
376,올바른식당 독립문역,무악동,37,5.0,1
377,소보로식당 독립문역,무악동,36,0.0,3
378,청년피자 종로점,무악동,34,5.0,0
379,CAFE THE PARK 독립문역,무악동,34,4.0,0
380, 파파존스 독립문,무악동,34,3.7,1
381, 다솜 자연밥상 독립문역,무악동,33,0.0,1
382, 이디야 독립문역점,무악동,33,3.0,0
383, 앗싸 복만두 독립문역,무악동,32,4.0,0
384, 덕송숯불갈비 독립문역,무악동,32,4.0,0
385, BBQ치킨 종로구,무악동,31,0.0,1
386, 파리바게뜨 독립문역,무악동,31,0.0,1
387, 한옥 독립문역,무악동,31,3.5,0
388, 옛날순대 종로구,무악동,31,0.0,1
389, 종로김밥 독립문점,무악동,31,3.0,0
390, 호야반점 종로구,무악동,31,0.0,0
391, 봄가득찬 독립문역,무악동,31,0.0,0
392, 올리비움카페 종로구,무악동,31,0.0,0
393, 고추저팔계 독립문본사직영점,무악동,31,0.0,0
394, 투다리 독립문역점,무악동,31,0.0,0
395, 썬더치킨 독립문점,무악동,31,0.0,0
396, 진미통닭 독립문역,무악동,31,0.0,0
397, 올리비움산후조리원 종로구,무악동,31,0.0,0
398, 돈미돈미삼겹천하 독립문역,무악동,15,0.0,0
399, 오달매 독립문역,무악동,15,0.0,0
400, 베이커리 립 독립문역,무악동,15,0.0,0
401, 미스터브리즈커피 독립문점,무악동,15,0.0,0
402, 카페처음 종로구,무악동,15,0.0,0
403, 뚜레쥬르 독립문역점,무악동,15,0.0,0
404, 카페다커피 독립문역,무악동,15,0.0,0
405, 제주흑돼지 종로,무악동,15,0.0,0
406, 연희김밥 독립문점,무악동,15,0.0,0
407, 제이단란주점 독립문역,무악동,15,0.0,0
408, 영천생고기 종로구,무악동,15,0.0,0
409, 진미식당 독립문역,무악동,15,0.0,0
410, 꽈로플 독립문본점,무악동,15,0.0,0
411, 한스 종로구,무악동,15,0.0,0
412, 상구네집 종로구,무악동,15,0.0,0
413, 할리스 독립문역점,무악동,15,0.0,0
414, 블루벨케이크 독립문역,무악동,15,0.0,0
415, 카페프리헷 종로무악점,무악동,15,0.0,0
416, 컴포즈커피 독립문롯데캐슬점,무악동,15,0.0,0
417,메이탄 종로,교남동,43,3.7,11
418,스시해 서대문역,교남동,35,4.0,2
419,서대문곰탕 서대문,교남동,32,1.0,0
420,종로맛집 종로구,교남동,31,0.0,0
421,모인촌숯불바베큐 서대문역,교남동,31,0.0,0
422,봉평옹심이막국수 서대문역,교남동,31,0.0,0
423,한양삼계탕 서대문,교남동,31,0.0,0
424,흥청이네 옛날감자탕 서대문역,교남동,31,0.0,0
425,곰마루 서대문역,교남동,31,0.0,0
426, 미미대구왕뽈찜 서대문역,교남동,31,0.0,0
427, 부산자갈치산곰장어 서대문역,교남동,15,0.0,0
428, 남도아구찜 종로구,교남동,15,0.0,0
429, 피자알볼로 서대문,교남동,15,0.0,0
430, 착한코다리 서대문,교남동,15,0.0,0
431, 둘둘치킨 서대문점,교남동,15,0.0,0
432, 고려식당 서대문역,교남동,15,0.0,0
433, 신의주찹쌀순대 교남점,교남동,15,0.0,0
434, 비어헌팅 서대문역,교남동,15,0.0,0
435, 한나식빵 서대문역점,교남동,15,0.0,0
436, 바다회수산 종로구,교남동,15,0.0,0
437, 맛샘분식 종로구,교남동,15,0.0,0
438, 호야치킨 서대문,교남동,15,0.0,0
439, 종로집해물탕부대찌개 종로,교남동,15,0.0,0
440, 고향식당 종로구,교남동,15,0.0,0
441, 니하오 마라탕 서대문역점,교남동,15,0.0,0
442, 오봉집 서대문역점,교남동,15,0.0,0
443,비엘티스테이크 동대문,가회동,68,4.5,357
444,로우루프 북촌,가회동,57,4.5,7
445,대장장이 화덕피자 북촌,가회동,56,4.0,114
446,타볼로24 동대문,가회동,54,4.2,145
447,오설록 티하우스 북촌점,가회동,53,3.9,5
448,비담 가회동,가회동,52,4.5,2
449,완판생국수 동대문,가회동,51,4.3,10
450,제이히든 하우스 동대문,가회동,50,4.0,10
451,하남돼지집 종로꽃시장점,가회동,49,5.0,0
452, 덕성각 동대문,가회동,48,4.8,7
453, 그린마일커피 북촌,가회동,47,3.7,22
454, 백년토종삼계탕 북촌,가회동,45,5.0,4
455, 양지식당 동대문,가회동,45,5.0,5
456, 초이라멘 동대문,가회동,44,4.3,4
457, 일번지 동대문,가회동,44,4.7,1
458, 아이사구아 북촌,가회동,43,3.7,25
459, 더블식스버거 동대문,가회동,43,4.5,1
460, 샐러디 동대문역점,가회동,42,5.0,0
461, 부빙 북촌,가회동,42,4.0,2
462, 한경헌 종로구,가회동,41,3.5,4
463, 방아다리 감자국 종로,가회동,40,0.0,46
464, 이디야 동대문역점,가회동,38,5.0,1
465, JW 메리어트 동대문스퀘어 서울 베이킹 컴퍼니,가회동,38,3.6,0
466, 동진분식 동대문역,가회동,37,4.0,1
467, 종로회타운 종로구,가회동,37,4.0,0
468, 더그리핀바 동대문,가회동,36,3.0,13
469, JW메리어트 동대문 더라운지 동대문,가회동,36,3.6,0
470, 카페레이서 북촌,가회동,35,4.0,0
471, 떼레노 종로구,가회동,35,0.0,2
472, 산채랑 종로,가회동,35,4.0,0
473, 신신원 동대문,가회동,35,3.0,9
474, 진담 황태국 종로구,가회동,34,0.0,1
475, 현대카드 디자인 라이브러리 북촌,가회동,34,0.0,6
476, 내고향제육 동대문,가회동,33,0.0,1
477, 모자이크 베이커리 북촌점,가회동,33,4.0,0
478, 혼다라멘 동대문종합시장점,가회동,33,3.0,1
479, 조각보 북촌한옥마을,가회동,32,1.0,2
480, 공차 동대문종합시장점,가회동,32,3.9,0
481, 초당 동대문,가회동,32,0.0,2
482, 카페포코 동대문,가회동,32,3.0,0
483, 등대호프 종로,가회동,32,0.0,2
484, 언더투에니포 동대문,가회동,32,0.0,4
485, 명품삼청동떡볶이 북촌,가회동,32,3.0,0
486, 엔티커피 동대문,가회동,32,0.0,2
487, 신의주찹쌀순대 동대문,가회동,31,0.0,1
488, 아리노마마 동대문,가회동,31,1.0,0
489, 김말자 종각역,가회동,31,3.0,0
490, JW 메리어트 동대문 스퀘어 서울 인룸다이닝,가회동,31,0.0,0
491, 가회 갤러리카페 북촌,가회동,31,0.0,0
492, 호와초밥 동대문,가회동,31,0.0,0
493, 보자기꽃밥 북촌,가회동,31,0.0,0
494, 종로김밥 동대문,가회동,31,0.0,0
495, 호두붐 동대문점,가회동,31,0.0,0
496, 써브웨이 동대문역점,가회동,31,0.0,0
497, 포베이 동대문종합시장점,가회동,31,0.0,0
498, 국수명가 북촌,가회동,31,0.0,0
499, 장수한우 동대문,가회동,31,0.0,0
500, 고이 북촌,가회동,31,0.0,0
501, 둘둘치킨 종로6가점,가회동,15,0.0,0
502, 핸디크레프티 종로구,가회동,15,0.0,0
503, 커피니 동대문역점,가회동,15,0.0,0
504, 유로시안 동대문점,가회동,15,0.0,0
505, 종가집수라상 동대문,가회동,15,0.0,0
506, 딥키 가회동,가회동,15,0.0,0
507, 메종드그릭 동대문점,가회동,15,0.0,0
508, 힘이나는커피생활 동대문종합시장 1호점,가회동,15,0.0,0
509, 사미커피 동대문점,가회동,15,0.0,0
510, 뉴욕버거 동대문종합시장장점,가회동,15,0.0,0
511, 남원추어탕 동대문,가회동,15,0.0,0
512, 콩스킹 동대문,가회동,15,0.0,0
513, 맛뜸 동대문점 종로구,가회동,15,0.0,0
514, 한솥도시락 동대문성곽공원앞점,가회동,15,0.0,0
515, 매머드익스프레스 동대문역점,가회동,15,0.0,0
516, 룩스 종로,가회동,15,0.0,0
517, 러반로제 동대문종합시장지점,가회동,15,0.0,0
518, 육대장 동대문역점,가회동,15,0.0,0
519, 동댐힐링카페 동대문,가회동,15,0.0,0
520, 부산아지매국밥 동대문종합시장점,가회동,15,0.0,0
521, 던킨도너츠 동대문시장점,가회동,15,0.0,0
522, 풀내음도시락 북촌한옥마을,가회동,15,0.0,0
523, 명동칼국수 종로구,가회동,15,0.0,0
524, 배떡 로제떡볶이 종로점,가회동,15,0.0,0
525, 59쌀피자 동대문점,가회동,15,0.0,0
526, 회화당 종로구,가회동,15,0.0,0
527, CAFE 357 북촌,가회동,15,0.0,0
