,상호명,행정동명,행정동코드
12000,바사쿠,중계4동,1135062400
12001,산천식당,중계4동,1135062400
12002,삿갓봉초밥,중계4동,1135062400
12003,춘천최부자숯불닭갈비,중계4동,1135062400
12004,투존치킨,중계4동,1135062400
12005,싹쓰리솥뚜껑삼겹살,중계4동,1135062400
12006,서원갈비,중계4동,1135062400
12007,메가커피,중계4동,1135062400
12008,재운이네무한리필,중계4동,1135062400
12009,500소갈비살,중계4동,1135062400
12010,안씨네부엌,중계4동,1135062400
12011,고향밥상,중계4동,1135062400
12012,박대박조개찜,중계4동,1135062400
12013,바론식당,중계4동,1135062400
12014,키친혁명,중계4동,1135062400
12015,커피니,중계4동,1135062400
12016,카페,중계4동,1135062400
12017,휘드카페,중계4동,1135062400
12018,킹부대찌개,중계4동,1135062400
12019,불놀이야,중계4동,1135062400
12020,방추남원추어탕,중계4동,1135062400
12021,국물명가24시전주콩나물국밥,중계4동,1135062400
12022,돈까스오케이,중계4동,1135062400
12023,송화강마라훠궈,중계4동,1135062400
12024,맷돌빈대떡집,중계4동,1135062400
12025,노원상계서서갈비,중계4동,1135062400
12026,안녕,중계4동,1135062400
12027,동그라미,중계4동,1135062400
12028,참치세상,중계4동,1135062400
12029,호미곱도리식당,대림1동,1156070000
12030,순천식당,대림1동,1156070000
12031,자매식당,대림1동,1156070000
12032,미도떡집,대림1동,1156070000
12033,박정순대림동8532,대림1동,1156070000
12034,도깨비떡방아,대림1동,1156070000
12035,미소네막창구이,대림1동,1156070000
12036,놀부부대찌개&철판구이,대림1동,1156070000
12037,커피스미스,대림1동,1156070000
12038,상구통닭,대림1동,1156070000
12039,청진동해장국,대림1동,1156070000
12040,던킨,대림1동,1156070000
12041,참좋은당신,대림1동,1156070000
12042,명륜진사갈비,대림1동,1156070000
12043,천향마라탕,대림1동,1156070000
12044,바리스타마르코대림교회점,대림1동,1156070000
12045,둘둘치킨,대림1동,1156070000
12046,옛맛손칼국수,대림1동,1156070000
12047,순천식당,대림1동,1156070000
12048,수커피호프,대림1동,1156070000
12049,위프리플래닛,대림1동,1156070000
12050,카페보니또,대림1동,1156070000
12051,별난순대국,대림1동,1156070000
12052,다빈이네,대림1동,1156070000
12053,시나브로,대림1동,1156070000
12054,북촌손만두,대림1동,1156070000
12055,여우치킨,대림1동,1156070000
12056,베스트커피호프,대림1동,1156070000
12057,정성한줄,대림1동,1156070000
12058,프리돈가스,대림1동,1156070000
12059,애플틴,대림1동,1156070000
12060,삼우참숯화로,대림1동,1156070000
12061,후라이드참잘하는집,대림1동,1156070000
12062,수성식당,대림1동,1156070000
12063,빵에빠지다,대림1동,1156070000
12064,몰랑떡볶이,대림1동,1156070000
12065,고로케쌀카스테라,대림1동,1156070000
12066,지트,대림1동,1156070000
12067,마포숯불갈비,대림1동,1156070000
12068,서브웨이,대림1동,1156070000
12069,무의도바다속칼국수,대림1동,1156070000
12070,미도떡집,대림1동,1156070000
12071,모녀반찬,대림1동,1156070000
12072,파리케익,대림1동,1156070000
12073,미쳐버린파닭,대림1동,1156070000
12074,서해안푸드,대림1동,1156070000
12075,불떡,대림1동,1156070000
12076,정박사정육식당대림점,대림1동,1156070000
12077,배스킨라빈스31대림성모점,대림1동,1156070000
12078,토속정,대림1동,1156070000
12079,"백두산감자탕,장군보쌈",대림1동,1156070000
12080,정박사정육식당,대림1동,1156070000
12081,토니피자,대림1동,1156070000
12082,예진이네옛날통닭,대림1동,1156070000
12083,금호식당,대림1동,1156070000
12084,육수당,대림1동,1156070000
12085,커피마시는아귀,대림1동,1156070000
12086,이모네밥집,대림1동,1156070000
12087,대박주먹고기,대림1동,1156070000
12088,송이원흑염소돼지국밥,대림1동,1156070000
12089,카페,대림1동,1156070000
12090,박가네대림닭칼국수,대림1동,1156070000
12091,우리집맛,대림1동,1156070000
12092,맛나식당,대림1동,1156070000
12093,커피스미스,대림1동,1156070000
12094,빨강떡볶이,대림1동,1156070000
12095,푸라닭,대림1동,1156070000
12096,월간파스타,대림1동,1156070000
12097,돈까스에미친세끼,대림1동,1156070000
12098,나누다키친딜리버리,대림1동,1156070000
12099,에스타테,대림1동,1156070000
12100,컴포즈커피,대림1동,1156070000
12101,픽업커피,대림1동,1156070000
12102,서양차반,대림1동,1156070000
12103,대림동숙이네,대림1동,1156070000
12104,못난이꽈배기,대림1동,1156070000
12105,목동명품등갈비,대림1동,1156070000
12106,명칭없음,대림1동,1156070000
12107,육회명가,대림1동,1156070000
12108,달떡볶이,대림1동,1156070000
12109,여신,오금동,1171057000
12110,일미식당,오금동,1171057000
12111,밀향기,오금동,1171057000
12112,일품향,오금동,1171057000
12113,김짜장박짬뽕,오금동,1171057000
12114,윤화돈까스전문점,오금동,1171057000
12115,핀치카페,오금동,1171057000
12116,서울오금초등학,오금동,1171057000
12117,우&돈,오금동,1171057000
12118,봉평메밀,오금동,1171057000
12119,현대닭강정,오금동,1171057000
12120,맛닭꼬오금점,오금동,1171057000
12121,홍팥집오금동점,오금동,1171057000
12122,MOONCAFE,오금동,1171057000
12123,둥지,오금동,1171057000
12124,중식포차왕푸징,오금동,1171057000
12125,꼼떼한우,오금동,1171057000
12126,빠띠시에,오금동,1171057000
12127,큐스시,오금동,1171057000
12128,김밥나라,오금동,1171057000
12129,짝태노가리오금점,오금동,1171057000
12130,백두대간,오금동,1171057000
12131,대밭골우렁쌈밥,오금동,1171057000
12132,무진감자탕,오금동,1171057000
12133,키즈카페,오금동,1171057000
12134,흥도식당,오금동,1171057000
12135,봉래뼈감자탕,오금동,1171057000
12136,마포숯불갈비,오금동,1171057000
12137,카페,오금동,1171057000
12138,굿모닝호프,오금동,1171057000
12139,정직한고기총각,오금동,1171057000
12140,메차쿠차,오금동,1171057000
12141,명가돌솥밥,오금동,1171057000
12142,이디야커피,오금동,1171057000
12143,전주콩나물국밥,오금동,1171057000
12144,한우명가,오금동,1171057000
12145,족발예찬,오금동,1171057000
12146,오금골생돼지마을,오금동,1171057000
12147,모범떡볶이1976,오금동,1171057000
12148,시골민물매운탕,오금동,1171057000
12149,카페라모엘,오금동,1171057000
12150,바게트프라자,오금동,1171057000
12151,금강산,오금동,1171057000
12152,하나은행,오금동,1171057000
12153,MINIM,오금동,1171057000
12154,투썸플레이스,오금동,1171057000
12155,풍원,오금동,1171057000
12156,태양수제숯불갈비,오금동,1171057000
12157,해프닝,오금동,1171057000
12158,물빛마을참장어,오금동,1171057000
12159,오금숯불구이,오금동,1171057000
12160,부산복집,오금동,1171057000
12161,생활맥주,오금동,1171057000
12162,한벽루칼국수보쌈왕만두,오금동,1171057000
12163,신산수고원,오금동,1171057000
12164,착한반찬,오금동,1171057000
12165,모리셔스브라운,오금동,1171057000
12166,이경진우렁쌈밥,오금동,1171057000
12167,곤드레밥,오금동,1171057000
12168,파리바게뜨오금현대점,오금동,1171057000
12169,롤스시,오금동,1171057000
12170,마이원통닭,오금동,1171057000
12171,커피스튜디오,오금동,1171057000
12172,FILLCOFFEE,오금동,1171057000
12173,도미노피자오금점,오금동,1171057000
12174,굽네치킨오금점,오금동,1171057000
12175,라향,오금동,1171057000
12176,왕푸징,오금동,1171057000
12177,부라더키친송파구점,오금동,1171057000
12178,꼬꼬방집으로삼겹,오금동,1171057000
12179,만득이곱창,오금동,1171057000
12180,송파샤브샤브칼국수,오금동,1171057000
12181,마천골살치살전문점,오금동,1171057000
12182,이수떡볶이,오금동,1171057000
12183,하우롱,오금동,1171057000
12184,커피끌림로스터즈,오금동,1171057000
12185,향호면옥,오금동,1171057000
12186,Seasonablebakery,오금동,1171057000
12187,오금포차,오금동,1171057000
12188,왜이래양푼이,오금동,1171057000
12189,경성커피컴퍼니,도화동,1144058500
12190,처갓집양념치킨,도화동,1144058500
12191,오리도시,도화동,1144058500
12192,에머이마포공덕점,도화동,1144058500
12193,빽다방공덕새창로점,도화동,1144058500
12194,소희네분식,도화동,1144058500
12195,솔잎식당,도화동,1144058500
