,상호명,행정동명,행정동코드
6000,시골집,낙성대동,1162058500
6001,마스타바게트,낙성대동,1162058500
6002,생고기5900,낙성대동,1162058500
6003,이금옥샤브샤브칼국수,낙성대동,1162058500
6004,포몬스,낙성대동,1162058500
6005,스쿨푸드딜리버리,낙성대동,1162058500
6006,옛날육개장,낙성대동,1162058500
6007,대박갈비명가,낙성대동,1162058500
6008,오른손푸드카페,낙성대동,1162058500
6009,정육식당솔,낙성대동,1162058500
6010,정육점식당,낙성대동,1162058500
6011,차이나당,낙성대동,1162058500
6012,송원숯불갈비,낙성대동,1162058500
6013,커피나무서울대입구역점,낙성대동,1162058500
6014,커피볶는女子,낙성대동,1162058500
6015,동아사우나매점,낙성대동,1162058500
6016,투머트,낙성대동,1162058500
6017,맛있는도적숯불구이서울대점,낙성대동,1162058500
6018,미분당,낙성대동,1162058500
6019,zeitcoffeestand,낙성대동,1162058500
6020,NODAG,낙성대동,1162058500
6021,복돈이부추삼겹살,낙성대동,1162058500
6022,우리풍천장어봉천점,낙성대동,1162058500
6023,개그맨이경래의참숯갈비,낙성대동,1162058500
6024,라미스콘,낙성대동,1162058500
6025,고봉식당,낙성대동,1162058500
6026,소디스커피,낙성대동,1162058500
6027,킷사서울,낙성대동,1162058500
6028,앙뿌,낙성대동,1162058500
6029,시골쌈밥집,낙성대동,1162058500
6030,위넌스터디카페,낙성대동,1162058500
6031,노랑통닭,낙성대동,1162058500
6032,샤이케멘,낙성대동,1162058500
6033,고메츠,낙성대동,1162058500
6034,카페폴,낙성대동,1162058500
6035,카페보니또,낙성대동,1162058500
6036,러브앳퍼스트바이트,낙성대동,1162058500
6037,카페베네서울대역점,낙성대동,1162058500
6038,문득,낙성대동,1162058500
6039,피기스페이보릿,낙성대동,1162058500
6040,막이오름,낙성대동,1162058500
6041,산마을생갈비,낙성대동,1162058500
6042,마포생숯불소금구이,낙성대동,1162058500
6043,스타벅스,낙성대동,1162058500
6044,한우육회마을,낙성대동,1162058500
6045,공간,낙성대동,1162058500
6046,신포우리만두,낙성대동,1162058500
6047,피쉬앤그릴,낙성대동,1162058500
6048,THEBEAR,낙성대동,1162058500
6049,홍콩반점0410,낙성대동,1162058500
6050,순천전통순대국,낙성대동,1162058500
6051,오페라빈로스터스낙성대점,낙성대동,1162058500
6052,쌈장포차,낙성대동,1162058500
6053,쁘띠크,낙성대동,1162058500
6054,소블리,낙성대동,1162058500
6055,한그릇낙지마당,낙성대동,1162058500
6056,다락방70.80.90라이브,낙성대동,1162058500
6057,산마루식당,낙성대동,1162058500
6058,벌집삼겹살,낙성대동,1162058500
6059,산마을숯불갈비,낙성대동,1162058500
6060,작업실,낙성대동,1162058500
6061,모리돈부리,낙성대동,1162058500
6062,낙성기사식당,낙성대동,1162058500
6063,써머,낙성대동,1162058500
6064,꾸아땅,낙성대동,1162058500
6065,피맥하우스,낙성대동,1162058500
6066,로향양꼬치,낙성대동,1162058500
6067,로지브릭,낙성대동,1162058500
6068,미각담다,낙성대동,1162058500
6069,슬리핑피쉬,낙성대동,1162058500
6070,ProjectSeoul,낙성대동,1162058500
6071,낙성푸줏간,낙성대동,1162058500
6072,숙이네조개전골,낙성대동,1162058500
6073,카페미뇽,낙성대동,1162058500
6074,스몰월드,낙성대동,1162058500
6075,새실정원,낙성대동,1162058500
6076,혼치킨호프,문정1동,1171064100
6077,둘둘치킨문정1동점,문정1동,1171064100
6078,의정부부대찌개,문정1동,1171064100
6079,유화수생오리,문정1동,1171064100
6080,카페,문정1동,1171064100
6081,온달토종순대국,문정1동,1171064100
6082,은혜곱창,문정1동,1171064100
6083,남자피자문정점,문정1동,1171064100
6084,스위스,문정1동,1171064100
6085,퓨전주막김삿갓,문정1동,1171064100
6086,Thursdaycoffe,문정1동,1171064100
6087,과일나라커피공주,문정1동,1171064100
6088,알촌,문정1동,1171064100
6089,야곱293,문정1동,1171064100
6090,카페,문정1동,1171064100
6091,아시아쌀국수,문정1동,1171064100
6092,민속떡방,문정1동,1171064100
6093,가락동리어카포차송파,문정1동,1171064100
6094,노랑설탕플라워케이크,문정1동,1171064100
6095,배스킨라빈스31,문정1동,1171064100
6096,내맘애푸드,문정1동,1171064100
6097,예인면옥,문정1동,1171064100
6098,낙곱새부대장부대찌개,문정1동,1171064100
6099,39도시락,문정1동,1171064100
6100,장우족발,문정1동,1171064100
6101,혜화동돈까스극장,문정1동,1171064100
6102,마당한우집,문정1동,1171064100
6103,크레이지온펍,문정1동,1171064100
6104,골목떡볶이,문정1동,1171064100
6105,쭈꾸미나라,문정1동,1171064100
6106,툇마루칼국수,문정1동,1171064100
6107,BHC치킨방이점,문정1동,1171064100
6108,투다리문정본점,문정1동,1171064100
6109,참진,문정1동,1171064100
6110,굽네치킨문정점,문정1동,1171064100
6111,조선본갈비,문정1동,1171064100
6112,창룡,문정1동,1171064100
6113,핫독스,문정1동,1171064100
6114,묵골무공해쌈밥,문정1동,1171064100
6115,쉐프가가멜,문정1동,1171064100
6116,커피아이,문정1동,1171064100
6117,BHC치킨,문정1동,1171064100
6118,어랑,문정1동,1171064100
6119,묵골쌈밥,문정1동,1171064100
6120,TG,문정1동,1171064100
6121,제이푸드,문정1동,1171064100
6122,제육당,문정1동,1171064100
6123,난스시,문정1동,1171064100
6124,배달갈삼겹.,문정1동,1171064100
6125,명가칼국수,문정1동,1171064100
6126,coffee1017,문정1동,1171064100
6127,미담족발,문정1동,1171064100
6128,우리족발,문정1동,1171064100
6129,모범카츠,문정1동,1171064100
6130,라온,문정1동,1171064100
6131,니가찾던그집,문정1동,1171064100
6132,등갈비협회,문정1동,1171064100
6133,송파해물탕,문정1동,1171064100
6134,진사또2,문정1동,1171064100
6135,반달커피,문정1동,1171064100
6136,추억의7080&다방,문정1동,1171064100
