,상호명,행정동명,행정동코드
18000,김밥천국,상계9동,1135071000
18001,영향력,상계9동,1135071000
18002,그집삼겹살,상계9동,1135071000
18003,엘리제과자점,상계9동,1135071000
18004,생고기하우스,상계9동,1135071000
18005,맘스떡볶이,상계9동,1135071000
18006,코코호도서울마들역점,상계9동,1135071000
18007,신서방장수왕족발보쌈,상계9동,1135071000
18008,낙원떡집,상계9동,1135071000
18009,이조모빌,상계9동,1135071000
18010,아딸마들역점,상계9동,1135071000
18011,상구비어,상계9동,1135071000
18012,오늘또피자,상계9동,1135071000
18013,민부곤과자점,상계9동,1135071000
18014,생빙떡방,상계9동,1135071000
18015,마비노스커피,상계9동,1135071000
18016,롯데리아G/S마트상계점,상계9동,1135071000
18017,DK치킨,상계9동,1135071000
18018,이삭토스트,상계9동,1135071000
18019,바몬드닭오리바베큐치킨,상계9동,1135071000
18020,와이에이비커머스-한시적,상계9동,1135071000
18021,스토리하우스,상계9동,1135071000
18022,마들케이크,상계9동,1135071000
18023,은사즉석떡볶이,상계9동,1135071000
18024,장군초밥,상계9동,1135071000
18025,서서갈비함흥냉면,상계9동,1135071000
18026,네모아이스크림,상계9동,1135071000
18027,터치라떼,상계9동,1135071000
18028,트리플에이,상계9동,1135071000
18029,떼떼아이스,상계9동,1135071000
18030,미농,상계9동,1135071000
18031,띵동아이스크림할인점,상계9동,1135071000
18032,위드유,상계9동,1135071000
18033,피자헛수유리점,수유2동,1130562500
18034,예담떡집,수유2동,1130562500
18035,군닭발,수유2동,1130562500
18036,명락생생갈비,수유2동,1130562500
18037,돈워리,수유2동,1130562500
18038,이모네맛집,수유2동,1130562500
18039,섬진강민물장어,수유2동,1130562500
18040,하나분식,수유2동,1130562500
18041,진도검정쌀,수유2동,1130562500
18042,수작,수유2동,1130562500
18043,커피베이,수유2동,1130562500
18044,파리바게뜨,수유2동,1130562500
18045,드링커스,수유2동,1130562500
18046,죽이야기광산사거리점,수유2동,1130562500
18047,맛있는돈까스,수유2동,1130562500
18048,원조막국수,수유2동,1130562500
18049,와우왕십리곱창,수유2동,1130562500
18050,삼다도활어회,수유2동,1130562500
18051,대가집,수유2동,1130562500
18052,죽이야기광산사거리점,수유2동,1130562500
18053,신촌갈비국밥,수유2동,1130562500
18054,궁전기사님회관,수유2동,1130562500
18055,카페원캔,수유2동,1130562500
18056,커피에반하다,수유2동,1130562500
18057,바사칸치킨,수유2동,1130562500
18058,카페,수유2동,1130562500
18059,예원닭강정,수유2동,1130562500
18060,가오리떡볶이,수유2동,1130562500
18061,청년이닭,수유2동,1130562500
18062,삼보갈비,수유2동,1130562500
18063,시골농장,수유2동,1130562500
18064,비어박스,수유2동,1130562500
18065,본가콩나물국밥감자탕,수유2동,1130562500
18066,푸라닭,수유2동,1130562500
18067,머거볼래,수유2동,1130562500
18068,치킨,수유2동,1130562500
18069,예림떡,수유2동,1130562500
18070,손두부마을,수유2동,1130562500
18071,국산아구찜해물찜,수유2동,1130562500
18072,둘둘말아,수유2동,1130562500
18073,종로막창,수유2동,1130562500
18074,파이데이3.14,수유2동,1130562500
18075,할매순대국,수유2동,1130562500
18076,한마을숯불바베큐,수유2동,1130562500
18077,하루가,수유2동,1130562500
18078,홍콩반점,수유2동,1130562500
18079,호야,수유2동,1130562500
18080,4.19소갈비살,수유2동,1130562500
18081,행복한빵집,수유2동,1130562500
18082,또봉이통닭,수유2동,1130562500
18083,맘스터치덕성여대점,수유2동,1130562500
18084,뉴멕시칸치킨,수유2동,1130562500
18085,윤옥연원조할매떡볶이,수유2동,1130562500
18086,피자알볼로,수유2동,1130562500
18087,크래미김밥.우동집,수유2동,1130562500
18088,유키가후루,수유2동,1130562500
18089,돈카츠브라더스,수유2동,1130562500
18090,교촌치킨,수유2동,1130562500
18091,봉수아피자,수유2동,1130562500
18092,일류국수,수유2동,1130562500
18093,명동곱창,수유2동,1130562500
18094,혼술,수유2동,1130562500
18095,정원상회,수유2동,1130562500
18096,두손면가,수유2동,1130562500
18097,민이네푸드,수유2동,1130562500
18098,박꼬치,수유2동,1130562500
18099,마구로한돌,수유2동,1130562500
18100,쌤닭,수유2동,1130562500
