,상호명,행정동명,행정동코드
30000,강남소금구이,등촌2동,1150053000
30001,서오릉피자,등촌2동,1150053000
30002,장모님육개장,등촌2동,1150053000
30003,DESSERT39,등촌2동,1150053000
30004,농가푸드옛날통닭,등촌2동,1150053000
30005,카페소미,등촌2동,1150053000
30006,구스탁,등촌2동,1150053000
30007,에코,등촌2동,1150053000
30008,무한리필삼겹살,등촌2동,1150053000
30009,명가떡방,등촌2동,1150053000
30010,에띠임프리미엄라운지,등촌2동,1150053000
30011,스타,등촌2동,1150053000
30012,20온스,등촌2동,1150053000
30013,카페달군,등촌2동,1150053000
30014,마을분식,등촌2동,1150053000
30015,네네치킨,등촌2동,1150053000
30016,손큰할매순대국,등촌2동,1150053000
30017,브레드칸,등촌2동,1150053000
30018,행복한커피상점커피정,등촌2동,1150053000
30019,백년밥상,등촌2동,1150053000
30020,미스터빠삭,등촌2동,1150053000
30021,"광어2마리15,000원",등촌2동,1150053000
30022,커피스미스,등촌2동,1150053000
30023,한우등촌골,등촌2동,1150053000
30024,샤론,등촌2동,1150053000
30025,롤리김밥,등촌2동,1150053000
30026,덤스,등촌2동,1150053000
30027,종로복떡,등촌2동,1150053000
30028,비워봐,등촌2동,1150053000
30029,사랑을굽는우리동네식빵,등촌2동,1150053000
30030,보나세라오가닉베이커리,등촌2동,1150053000
30031,세복칼국수,등촌2동,1150053000
30032,짱떡볶이,등촌2동,1150053000
30033,파리바게뜨,등촌2동,1150053000
30034,굽네치친,등촌2동,1150053000
30035,은수네초밥,등촌2동,1150053000
30036,등촌종합어시장,등촌2동,1150053000
30037,남한강민물매운탕,등촌2동,1150053000
30038,북촌서서갈비,등촌2동,1150053000
30039,남가네설악추어탕,등촌2동,1150053000
30040,만배아리랑,등촌2동,1150053000
30041,콩심,등촌2동,1150053000
30042,엔씨,등촌2동,1150053000
30043,신안갯뻘낙지,등촌2동,1150053000
30044,몽마,사당5동,1159065100
30045,눈부심어웨이즈,사당5동,1159065100
30046,모코커피,사당5동,1159065100
30047,아이랑생얼음막걸리,사당5동,1159065100
30048,유미식당,사당5동,1159065100
30049,나리당,사당5동,1159065100
30050,총신기사식당,사당5동,1159065100
30051,오리&국수,사당5동,1159065100
30052,나들목,사당5동,1159065100
30053,떡복이사랑,사당5동,1159065100
