,상호명,행정동명,행정동코드
3000,수담푸드,원효로2동,1117057000
3001,카페문화,원효로2동,1117057000
3002,맥스숯불바베큐치킨,원효로2동,1117057000
3003,전주식당,원효로2동,1117057000
3004,커피주아,원효로2동,1117057000
3005,독도얼큰이용산점,원효로2동,1117057000
3006,1인1닭,원효로2동,1117057000
3007,능이네탕집,원효로2동,1117057000
3008,뚱뚱이할머니족발보쌈,원효로2동,1117057000
3009,예드림,원효로2동,1117057000
3010,부자반점,원효로2동,1117057000
3011,김밥&라면,원효로2동,1117057000
3012,회풍원식당,원효로2동,1117057000
3013,청춘뚝배기,원효로2동,1117057000
3014,원효로막회,원효로2동,1117057000
3015,힐탑,원효로2동,1117057000
3016,팔보,원효로2동,1117057000
3017,꿈꾸는나무,원효로2동,1117057000
3018,강나루다,원효로2동,1117057000
3019,야미,원효로2동,1117057000
3020,만리향,원효로2동,1117057000
3021,커피랜드코리아,원효로2동,1117057000
3022,상춘상회,원효로2동,1117057000
3023,송이네,원효로2동,1117057000
3024,쉼표푸드,원효로2동,1117057000
3025,포원제로,원효로2동,1117057000
3026,슈어슈어리커피,원효로2동,1117057000
3027,이가뚝배기,원효로2동,1117057000
3028,원효굴찜,원효로2동,1117057000
3029,길농원/길농원훈제바베큐,원효로2동,1117057000
3030,씨키스커피,원효로2동,1117057000
3031,붐베이직카페,원효로2동,1117057000
3032,한방통닭장작구이,원효로2동,1117057000
3033,꼬리살랑,원효로2동,1117057000
3034,산꼼장어바다장어,원효로2동,1117057000
3035,통통생고기,원효로2동,1117057000
3036,나리한과떡,원효로2동,1117057000
3037,블럭앤블럭,원효로2동,1117057000
3038,릴리온커피,원효로2동,1117057000
3039,예드림,원효로2동,1117057000
3040,우성커피숍,신월4동,1147059000
3041,원조우리분식멸치국수,신월4동,1147059000
3042,민속떡방아간,신월4동,1147059000
3043,활어회셀프수산신월본점,신월4동,1147059000
3044,억순네족본점,신월4동,1147059000
3045,조마루감자탕신정점,신월4동,1147059000
3046,투다리,신월4동,1147059000
3047,토종백암순대,신월4동,1147059000
3048,배떡,신월4동,1147059000
3049,곰커피호프,신월4동,1147059000
3050,꽃샘,신월4동,1147059000
3051,황금갈비살생삼겹,신월4동,1147059000
3052,송주불냉면,신월4동,1147059000
3053,장라멘,신월4동,1147059000
3054,신의주찹쌀순대,신월4동,1147059000
3055,국가대패,신월4동,1147059000
3056,양천잔치국수돼지모듬,신월4동,1147059000
3057,장우동신월점,신월4동,1147059000
3058,미소곤드레오리주물럭,신월4동,1147059000
3059,신월동꽈배기,신월4동,1147059000
3060,엄지순대국,신월4동,1147059000
3061,좋은사람들,신월4동,1147059000
3062,맥도날드,신월4동,1147059000
3063,여주식당,신월4동,1147059000
3064,꽈배기생각,신월4동,1147059000
3065,무한리필삼겹시대,신월4동,1147059000
3066,김자매전골,신월4동,1147059000
3067,은행나무집,신월4동,1147059000
3068,몽마르지,신월4동,1147059000
3069,호프나라,신월4동,1147059000
3070,찾았다홍어무침,신월4동,1147059000
3071,또래오래,신월4동,1147059000
3072,김밥천국,신월4동,1147059000
3073,전국맛집,신월4동,1147059000
3074,루루아틀리에,신월4동,1147059000
3075,슬라임팩토리,신월4동,1147059000
3076,걸작떡볶이,신월4동,1147059000
3077,원밀면,신월4동,1147059000
3078,녹돈생고기,신월4동,1147059000
3079,탈렌트식당,신월4동,1147059000
3080,알레비앙,신월4동,1147059000
3081,처갓집양념치킨,신월4동,1147059000
3082,꼬꼬`s닭발,신월4동,1147059000
3083,신월동오남매닭갈비,신월4동,1147059000
3084,제일김밥,신월4동,1147059000
3085,낙회수산,신월4동,1147059000
3086,한접시만원횟집,신월4동,1147059000
3087,맛있는밥집,신월4동,1147059000
3088,맛자랑감자탕,신월4동,1147059000
3089,이삭토스트,신월4동,1147059000
3090,오새우,신월4동,1147059000
3091,돈처럼,신월4동,1147059000
3092,여기서놀아,신월4동,1147059000
