,place,rank,review_count,view_count
331,창동,4.3,40.0,41158.0
332,창동,4.3,9.0,10068.0
333,창동,4.3,11.0,15856.0
334,창동,4.3,8.0,8038.0
335,창동,4.3,4.0,2203.0
336,창동,4.3,7.0,6216.0
337,창동,4.2,169.0,119478.0
338,창동,4.2,46.0,42272.0
339,창동,4.2,69.0,65464.0
340,창동,4.2,35.0,112288.0
341,창동,4.2,43.0,45361.0
342,창동,4.2,40.0,55737.0
343,창동,4.2,49.0,50577.0
364,창동,4.2,89.0,106570.0
365,창동,4.2,27.0,34748.0
366,창동,4.2,22.0,26858.0
367,창동,4.2,19.0,18262.0
368,창동,4.2,19.0,15502.0
369,창동,4.1,280.0,300914.0
370,창동,4.1,29.0,21920.0
371,창동,4.1,12.0,11248.0
372,창동,4.1,15.0,27677.0
373,창동,4.1,8.0,9021.0
374,창동,4.0,87.0,91307.0
375,창동,4.0,35.0,49169.0
376,창동,4.0,38.0,57115.0
377,창동,4.0,38.0,133494.0
378,창동,4.0,37.0,84026.0
379,창동,4.0,16.0,47348.0
380,창동,4.0,13.0,9030.0
381,창동,4.0,11.0,9079.0
382,창동,4.0,8.0,4968.0
383,창동,4.0,4.0,1242.0
404,창동,3.9,48.0,28425.0
405,창동,3.9,43.0,34678.0
406,창동,3.9,49.0,42063.0
407,창동,3.9,26.0,25137.0
408,창동,3.9,28.0,73992.0
409,창동,3.9,24.0,24751.0
410,창동,3.9,13.0,9325.0
411,창동,3.9,33.0,40720.0
412,창동,3.9,10.0,8194.0
413,창동,3.9,19.0,27119.0
414,창동,3.9,10.0,5593.0
415,창동,3.9,14.0,25433.0
416,창동,3.9,13.0,7621.0
417,창동,3.9,18.0,27865.0
418,창동,3.9,8.0,3190.0
419,창동,3.9,10.0,3107.0
420,창동,3.8,145.0,136528.0
421,창동,3.8,30.0,48784.0
422,창동,3.8,24.0,9582.0
423,창동,3.8,37.0,65026.0
444,창동,3.8,27.0,21510.0
445,창동,3.8,24.0,12867.0
446,창동,3.8,30.0,44025.0
447,창동,3.8,10.0,10283.0
448,창동,3.8,25.0,10828.0
449,창동,3.8,18.0,4629.0
450,창동,3.8,16.0,30444.0
451,창동,3.8,10.0,5358.0
452,창동,3.8,13.0,9947.0
453,창동,3.7,150.0,88095.0
454,창동,3.7,37.0,18720.0
455,창동,3.7,16.0,7729.0
456,창동,3.7,18.0,32640.0
457,창동,3.7,10.0,5698.0
458,창동,3.7,5.0,3172.0
459,창동,3.6,30.0,20657.0
460,창동,3.6,17.0,8982.0
461,창동,3.6,49.0,36464.0
462,창동,3.6,17.0,16559.0
463,창동,3.6,7.0,4069.0
484,창동,3.5,56.0,57353.0
485,창동,3.5,44.0,39528.0
486,창동,3.5,8.0,2090.0
487,창동,3.5,11.0,4515.0
488,창동,3.4,36.0,34224.0
489,창동,3.4,14.0,13450.0
490,창동,3.3,34.0,3861.0
491,창동,3.3,14.0,4485.0
492,창동,3.3,28.0,52355.0
493,창동,3.3,10.0,5487.0
494,창동,3.3,8.0,1963.0
495,창동,3.3,7.0,2821.0
496,창동,3.2,44.0,17334.0
