place,rank,review_count,view_count
북아현동,4.3,13,11896
북아현동,3.9,18,19159
북아현동,3.9,17,3705
북아현동,3.9,6,1748
북아현동,3.7,23,9882
북아현동,3.7,17,26064
북아현동,3.6,19,13418
북아현동,,3,2194
북아현동,,4,1578
북아현동,,6,5011
북아현동,,4,5605
북아현동,,2,2655
북아현동,,3,2023
북아현동,,1,1468
북아현동,,2,196
북아현동,,3,2251
북아현동,,4,3904
북아현동,,5,4912
북아현동,,3,1902
북아현동,,1,653
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,3,658
북아현동,,0,1212
북아현동,,4,2335
북아현동,,2,1509
북아현동,,1,1880
북아현동,,1,52
북아현동,,2,1865
북아현동,,2,1053
북아현동,,2,1543
북아현동,,1,1380
북아현동,,1,207
북아현동,,0,3363
북아현동,,2,1692
북아현동,,3,886
북아현동,,1,1249
북아현동,,1,165
북아현동,,2,1136
북아현동,,1,2003
북아현동,,0,1545
북아현동,,1,515
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,1,442
북아현동,,1,1532
북아현동,,1,547
북아현동,,1,1609
북아현동,,1,454
북아현동,,1,2176
북아현동,,0,1942
북아현동,,0,1563
북아현동,,0,1474
북아현동,,0,964
북아현동,,0,630
북아현동,,0,579
북아현동,,0,435
북아현동,,0,290
북아현동,,0,273
북아현동,,0,182
북아현동,,0,166
북아현동,,0,151
북아현동,,0,79
북아현동,,0,73
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
북아현동,,,
회현동,4.6,105,300474
회현동,4.4,29,31559
회현동,4.4,25,32450
