place,rank,review_count,view_count
소공동,,4,1744
소공동,,4,1691
소공동,,3,1310
소공동,,3,64
소공동,,3,2070
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,2,601
소공동,,2,490
소공동,,2,111
소공동,,2,87
소공동,,4,3010
소공동,,3,4018
소공동,,1,444
소공동,,1,65
소공동,,3,5244
소공동,,3,2639
소공동,,2,2597
소공동,,2,2049
소공동,,1,6097
소공동,,2,1557
소공동,,3,1172
소공동,,1,292
소공동,,2,4128
소공동,,3,3669
소공동,,2,2571
소공동,,2,1041
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,2,2548
소공동,,1,259
소공동,,1,112
소공동,,1,29
소공동,,3,2140
소공동,,2,4628
소공동,,2,2464
소공동,,2,795
소공동,,2,8086
소공동,,1,2700
소공동,,1,2130
소공동,,1,1864
소공동,,1,1240
소공동,,1,268
소공동,,1,90
소공동,,1,12
소공동,,1,8
소공동,,0,302
소공동,,4,3862
소공동,,2,1660
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,1,4818
소공동,,1,2406
소공동,,1,2034
소공동,,1,415
소공동,,1,239
소공동,,0,1058
소공동,,1,3363
소공동,,1,3245
소공동,,1,2855
소공동,,1,1791
소공동,,1,1344
소공동,,1,800
소공동,,1,392
소공동,,1,351
소공동,,1,67
소공동,,0,2944
소공동,,0,2846
소공동,,0,1955
소공동,,0,1868
소공동,,0,977
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,0,237
소공동,,0,165
소공동,,0,138
소공동,,0,82
소공동,,3,1496
소공동,,1,1616
소공동,,1,336
소공동,,0,4500
소공동,,0,1759
소공동,,0,1518
소공동,,0,1376
소공동,,0,1312
소공동,,0,1196
소공동,,0,925
소공동,,0,726
소공동,,0,486
소공동,,0,312
소공동,,0,153
소공동,,0,40
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
대림동,4.3,44,76646
대림동,4.1,30,30582
대림동,4.0,18,13806
대림동,3.9,18,37268
대림동,3.9,7,6678
대림동,3.8,31,37689
대림동,3.7,10,7888
대림동,,13,23392
대림동,,2,8611
대림동,,2,258
대림동,,8,9737
대림동,,0,938
대림동,,2,6536
대림동,,1,331
대림동,,1,2273
대림동,,7,6212
대림동,,0,663
대림동,,7,6238
대림동,,1,1286
대림동,,5,1283
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,1,2284
대림동,,1,939
대림동,,1,528
대림동,,5,2909
대림동,,1,3530
대림동,,0,3493
대림동,,4,3205
대림동,,2,5809
대림동,,3,6266
대림동,,0,2123
대림동,,3,1962
대림동,,2,4487
대림동,,1,4042
대림동,,0,2059
대림동,,8,2750
대림동,,2,150
대림동,,1,1773
대림동,,1,2222
대림동,,1,1999
대림동,,1,874
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,1,428
대림동,,1,70
대림동,,1,1941
대림동,,0,607
대림동,,2,6716
대림동,,2,78
대림동,,1,2443
대림동,,1,1722
대림동,,1,1874
대림동,,1,1852
대림동,,1,552
대림동,,1,533
대림동,,1,392
대림동,,1,191
대림동,,1,6
대림동,,3,1884
대림동,,3,1652
대림동,,1,2513
대림동,,1,1632
대림동,,1,1091
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,1,680
대림동,,1,533
대림동,,1,419
대림동,,0,4550
대림동,,1,542
대림동,,1,7
대림동,,0,3642
대림동,,0,1723
대림동,,0,1504
대림동,,0,1494
대림동,,0,1404
대림동,,0,1374
대림동,,0,1335
대림동,,0,1330
대림동,,0,1325
대림동,,0,1292
대림동,,0,1288
대림동,,0,1100
대림동,,0,1038
대림동,,0,1011
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,0,1003
대림동,,0,968
대림동,,0,966
대림동,,0,881
대림동,,0,868
대림동,,0,824
대림동,,0,774
대림동,,0,766
대림동,,0,746
대림동,,0,647
대림동,,0,619
대림동,,0,616
대림동,,0,584
대림동,,0,579
대림동,,0,564
대림동,,0,558
대림동,,0,558
대림동,,0,552
대림동,,0,502
대림동,,0,497
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,0,486
대림동,,0,461
대림동,,0,449
대림동,,0,409
대림동,,0,346
대림동,,0,336
대림동,,0,323
대림동,,0,294
대림동,,0,281
대림동,,0,259
대림동,,0,251
대림동,,0,236
대림동,,0,234
대림동,,0,219
대림동,,0,217
대림동,,0,212
대림동,,0,212
대림동,,0,182
대림동,,0,166
대림동,,0,162
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,0,156
대림동,,0,124
대림동,,0,124
대림동,,0,96
대림동,,0,57
대림동,,0,21
대림동,,0,17
대림동,,0,16
대림동,,0,12
대림동,,0,8
대림동,,0,4
대림동,,0,3
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
대림동,,,
중계동,3.7,29,26062
중계동,3.6,17,21379
중계동,,8,12080
중계동,,8,3325
중계동,,15,69561
중계동,,15,10337
중계동,,0,7011
중계동,,4,2021
중계동,,4,5627
중계동,,0,1912
중계동,,4,6405
중계동,,7,5077
중계동,,2,347
중계동,,4,7561
중계동,,2,6568
중계동,,1,4633
중계동,,5,3302
중계동,,3,2264
중계동,,3,1991
중계동,,1,419
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,1,72
중계동,,0,3754
중계동,,3,4948
중계동,,2,4630
중계동,,2,1948
중계동,,2,4005
중계동,,2,2761
중계동,,2,1475
중계동,,2,786
중계동,,3,4846
중계동,,2,193
중계동,,2,81
중계동,,1,156
중계동,,1,34
중계동,,1,61
중계동,,7,5367
중계동,,5,4846
중계동,,3,2675
중계동,,3,337
중계동,,2,1172
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,1,1134
중계동,,1,162
중계동,,2,2869
중계동,,2,1868
중계동,,2,1639
중계동,,2,760
중계동,,2,193
중계동,,1,1832
중계동,,1,432
중계동,,3,1847
중계동,,3,1665
중계동,,1,1118
중계동,,1,707
중계동,,1,375
중계동,,1,106
중계동,,1,61
중계동,,3,1985
중계동,,4,1685
중계동,,1,328
중계동,,1,151
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,1,99
중계동,,17,8826
중계동,,2,869
중계동,,2,283
중계동,,1,216
중계동,,1,52
중계동,,0,2943
중계동,,0,294
중계동,,1,1589
중계동,,1,1568
중계동,,1,496
중계동,,1,346
중계동,,1,63
중계동,,0,618
중계동,,3,2534
중계동,,2,1849
중계동,,2,325
중계동,,1,2623
중계동,,1,2381
중계동,,1,1253
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
중계동,,,
